variant,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
clean,42,0,1,2.619046688079834,0.2540346682071686,0.6141747832298279,0.8050139546394348,0.001
clean,42,0,2,0.18202480673789978,0.9390316605567932,0.003549987217411399,0.9986072182655334,0.001
clean,42,0,3,0.06759225577116013,0.9780833125114441,0.004166694823652506,0.9986072182655334,0.001
clean,42,0,4,0.05354925990104675,0.9812711477279663,0.004650868941098452,1.0,0.001
clean,42,0,5,0.027541713789105415,0.9888424277305603,0.004119249526411295,1.0,0.000100000005
clean,42,0,6,0.02245139889419079,0.9920302629470825,0.0032380439806729555,1.0,0.000100000005
clean,42,0,7,0.019972003996372223,0.9926280379295349,0.0030752995517104864,1.0,0.000100000005
clean,42,0,8,0.017574481666088104,0.9932257533073425,0.0019939711783081293,1.0,0.000100000005
clean,42,0,9,0.012392517179250717,0.9962143898010254,0.0016107815317809582,1.0,0.000100000005
clean,42,0,10,0.015512263402342796,0.9950188994407654,0.0021013477817177773,1.0,0.000100000005
clean,42,0,11,0.01573970727622509,0.9938234686851501,0.0016152621246874332,1.0,0.000100000005
clean,42,0,12,0.017380377277731895,0.9940227270126343,0.001533153117634356,1.0,1.0000001e-05
clean,42,0,13,0.01248817890882492,0.9952181577682495,0.0015036511467769742,1.0,1.0000001e-05
clean,42,0,14,0.01423150859773159,0.9956166744232178,0.0014876743080094457,1.0,1.0000001e-05
clean,42,0,15,0.010454775765538216,0.9958158731460571,0.001499817706644535,1.0,1.0000001e-05
clean,42,0,16,0.015021255239844322,0.9940227270126343,0.0014664760092273355,1.0,1.0000001e-06
clean,42,0,17,0.015030507929623127,0.993624210357666,0.0014738517347723246,1.0,1.0000001e-06
clean,42,0,18,0.017455685883760452,0.9934250116348267,0.001461439998820424,1.0,1.0000001e-07
clean,42,0,19,0.014752240851521492,0.994819700717926,0.0014709514798596501,1.0,1.0000001e-07
clean,42,0,20,0.010508762672543526,0.9952181577682495,0.0014206678606569767,1.0,1.0000001e-08
clean,42,0,21,0.012265452183783054,0.9964136481285095,0.0014441271778196096,1.0,1.0000001e-08
clean,42,0,22,0.009925724938511848,0.9964136481285095,0.0014719776809215546,1.0,1.0000001e-09
clean,42,0,23,0.012544463388621807,0.9958158731460571,0.0014598401030525565,1.0,1.0000001e-09
clean,42,0,24,0.01389126107096672,0.9946204423904419,0.0014216693816706538,1.0,1.0000001e-10
clean,42,0,25,0.01434037834405899,0.994819700717926,0.0014790009008720517,1.0,1.0000001e-10
clean,42,0,26,0.016392571851611137,0.9928272366523743,0.0015049476642161608,1.0,1.0000001e-11
