variant,fold,seed,n_train,n_val,n_test,epochs_run,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
orig,0,42,5040,720,1440,15,0.9993055555555556,0.9993224932249324,0.9993055555555556,0.9993054470316542
orig,1,43,5040,720,1440,14,1.0,1.0,1.0,1.0
orig,2,44,5040,720,1440,19,1.0,1.0,1.0,1.0
orig,3,45,5040,720,1440,20,1.0,1.0,1.0,1.0
orig,4,46,5040,720,1440,23,1.0,1.0,1.0,1.0
clean,0,42,5019,718,1435,11,1.0,1.0,1.0,1.0
clean,1,43,5019,718,1435,18,1.0,1.0,1.0,1.0
clean,2,44,5020,718,1434,28,0.999302649930265,0.9993224932249324,0.9992283950617284,0.99926582816515
clean,3,45,5020,718,1434,20,1.0,1.0,1.0,1.0
clean,4,46,5020,718,1434,11,1.0,1.0,1.0,1.0
