variant,seed,dataset,accuracy,macro_precision,macro_recall,macro_f1
orig,42,thinkpad,0.9951388888888888,0.9954744893769284,0.995138888888889,0.9951399657492916
orig,42,vivo,0.8979166666666667,0.90878167032902,0.8979166666666667,0.8735577075672507
orig,42,flow,0.9486111111111112,0.966170193130856,0.9486111111111112,0.9404984064011416
orig,42,thinkpad-2,0.8583333333333333,0.8938852735647446,0.8583333333333333,0.8356335459052465
orig,42,flow-2,0.8541666666666666,0.8836931411713049,0.8541666666666666,0.8287038313695313
orig,43,thinkpad,0.9347222222222222,0.95261146284751,0.9347222222222225,0.9288192606604492
orig,43,vivo,0.7965277777777777,0.7932300576182736,0.7965277777777778,0.7444080402061545
orig,43,flow,0.8361111111111111,0.8390221274781088,0.8361111111111111,0.8096401259388537
orig,43,thinkpad-2,0.6888888888888889,0.6858871968403142,0.6888888888888888,0.6471776721590082
orig,43,flow-2,0.7208333333333333,0.7086435423675878,0.7208333333333334,0.6867235018162435
orig,44,thinkpad,0.9715277777777778,0.9800875307603653,0.9715277777777778,0.970124878433096
orig,44,vivo,0.9569444444444444,0.9657091799051388,0.9569444444444444,0.955148301014269
orig,44,flow,0.9861111111111112,0.988071188071188,0.9861111111111112,0.9859860895376512
orig,44,thinkpad-2,0.7784722222222222,0.8176156488217813,0.7784722222222221,0.7560619757410696
orig,44,flow-2,0.7909722222222222,0.8247340443705898,0.7909722222222223,0.7631003295100909
orig,45,thinkpad,0.9791666666666666,0.9831385402426828,0.9791666666666666,0.9782055749928354
orig,45,vivo,0.9597222222222224,0.9702867679058156,0.9597222222222224,0.9550356821673904
orig,45,flow,0.9979166666666668,0.998062015503876,0.9979166666666666,0.997913732853492
orig,45,thinkpad-2,0.7611111111111111,0.7212184562208108,0.7611111111111111,0.7066545500425628
orig,45,flow-2,0.7715277777777778,0.7313084109384628,0.7715277777777777,0.7217953231907841
orig,46,thinkpad,0.9951388888888888,0.995558566696778,0.995138888888889,0.9950165194890178
orig,46,vivo,0.9652777777777778,0.9754954838360762,0.965277777777778,0.9565703205688528
orig,46,flow,0.9979166666666668,0.9979997419021808,0.9979166666666666,0.9979156895443356
orig,46,thinkpad-2,0.9069444444444444,0.8922271034361946,0.9069444444444444,0.8857424376661012
orig,46,flow-2,0.9243055555555556,0.928775037744136,0.9243055555555556,0.9063311972821004
clean,42,thinkpad,0.9618055555555556,0.9733696540701688,0.9618055555555556,0.9608516610097888
clean,42,vivo,0.6701388888888888,0.6868697801710264,0.6701388888888888,0.6041055759827175
clean,42,flow,0.8291666666666667,0.853340856823829,0.8291666666666667,0.8164047517118217
clean,42,thinkpad-2,0.7381944444444445,0.7227293397920863,0.7381944444444444,0.6877228196414986
clean,42,flow-2,0.7111111111111111,0.6709422291150128,0.7111111111111111,0.655498643049554
clean,43,thinkpad,0.9604166666666668,0.9753266346331336,0.9604166666666668,0.9518435708911674
clean,43,vivo,0.7923611111111111,0.8368153849633013,0.7923611111111112,0.7556441626674525
clean,43,flow,0.8944444444444445,0.8941668081801242,0.8944444444444445,0.8679088897179691
clean,43,thinkpad-2,0.8777777777777778,0.8671490125392346,0.8777777777777778,0.8562948016321698
clean,43,flow-2,0.8958333333333334,0.907553987352018,0.8958333333333334,0.8735064858539245
clean,44,thinkpad,1.0,1.0,1.0,1.0
clean,44,vivo,0.9902777777777778,0.9915621889798918,0.9902777777777776,0.990111107749036
clean,44,flow,0.9958333333333332,0.9960617574060568,0.9958333333333332,0.9958294223978276
clean,44,thinkpad-2,0.9548611111111112,0.9455720956004564,0.9548611111111112,0.9469411907439343
clean,44,flow-2,0.9652777777777778,0.9795530801628362,0.9652777777777778,0.9602532283938294
clean,45,thinkpad,0.9986111111111112,0.9986772486772486,0.9986111111111112,0.9986102425126816
clean,45,vivo,0.9354166666666668,0.9395158093431591,0.9354166666666668,0.9249201668308906
clean,45,flow,0.9819444444444444,0.9847092405164416,0.9819444444444444,0.9816129019106468
clean,45,thinkpad-2,0.8583333333333333,0.9117187835761826,0.8583333333333333,0.83769653871441
clean,45,flow-2,0.8819444444444444,0.9215905453500312,0.8819444444444444,0.8681244334353856
clean,46,thinkpad,0.9986111111111111,0.9986772486772486,0.9986111111111112,0.9986102425126817
clean,46,vivo,0.9944444444444445,0.9946744816285372,0.9944444444444446,0.9944503351097376
clean,46,flow,0.9909722222222223,0.9921879320834024,0.9909722222222221,0.9907871470027424
clean,46,thinkpad-2,0.8951388888888889,0.9314456066253984,0.8951388888888889,0.8848624212273899
clean,46,flow-2,0.9166666666666666,0.9214879053657116,0.9166666666666666,0.9066772932493399
