variant,seed,dataset,overlay,factor,accuracy,macro_precision,macro_recall,macro_f1
orig,42,thinkpad,noise,environment,0.8236111111111111,0.8903359098052547,0.8236111111111111,0.8406128484818947
orig,42,thinkpad,rir,environment,0.8756944444444444,0.8966700667490072,0.8756944444444444,0.8733846725085107
orig,42,thinkpad,dir,recording-setting,0.9784722222222222,0.980687523071244,0.9784722222222224,0.9785646334764516
orig,42,vivo,noise,environment,0.7597222222222222,0.821644078439401,0.7597222222222223,0.7540315027422344
orig,42,vivo,rir,environment,0.7819444444444444,0.8487089779749707,0.7819444444444443,0.7655679168771371
orig,42,vivo,dir,recording-setting,0.8701388888888889,0.8813849982633535,0.8701388888888889,0.8507112651091333
orig,42,flow,noise,environment,0.7965277777777777,0.8603083298180947,0.7965277777777778,0.7982665947530332
orig,42,flow,rir,environment,0.8923611111111112,0.9197943410173798,0.8923611111111112,0.8853583413311071
orig,42,flow,dir,recording-setting,0.9291666666666668,0.9553375255522342,0.9291666666666668,0.9233531388151314
orig,42,thinkpad-2,noise,environment,0.6479166666666667,0.8202466389929974,0.6479166666666667,0.6601398691528861
orig,42,thinkpad-2,rir,environment,0.7708333333333334,0.8278213406791244,0.7708333333333334,0.7639170619059122
orig,42,thinkpad-2,dir,recording-setting,0.8402777777777778,0.8697917862425765,0.8402777777777779,0.8260066377294875
orig,42,flow-2,noise,environment,0.6583333333333333,0.7917766192840189,0.6583333333333333,0.6650078468447712
orig,42,flow-2,rir,environment,0.76875,0.8240280119717571,0.76875,0.7571058952987619
orig,42,flow-2,dir,recording-setting,0.8381944444444445,0.8994954903713221,0.8381944444444446,0.8227618426479539
orig,43,thinkpad,noise,environment,0.8229166666666666,0.8829755418787014,0.8229166666666666,0.8295544163805535
orig,43,thinkpad,rir,environment,0.8409722222222222,0.8676699843268995,0.8409722222222222,0.8353237659626603
orig,43,thinkpad,dir,recording-setting,0.9368055555555556,0.9444743215203112,0.9368055555555556,0.9352480340256232
orig,43,vivo,noise,environment,0.6979166666666666,0.7919766531989263,0.6979166666666665,0.6744769095343186
orig,43,vivo,rir,environment,0.6868055555555556,0.8014428342061715,0.6868055555555554,0.6757761664116844
orig,43,vivo,dir,recording-setting,0.7791666666666667,0.8004000865399902,0.7791666666666666,0.749491261081682
orig,43,flow,noise,environment,0.7326388888888888,0.7904496447818011,0.732638888888889,0.7301057881470385
orig,43,flow,rir,environment,0.8104166666666667,0.8442787381517036,0.8104166666666667,0.796699021726377
orig,43,flow,dir,recording-setting,0.8305555555555556,0.8886011822742275,0.8305555555555556,0.8105543279841054
orig,43,thinkpad-2,noise,environment,0.4826388888888889,0.642111578182911,0.4826388888888889,0.4696169972699089
orig,43,thinkpad-2,rir,environment,0.5534722222222223,0.641689686274886,0.5534722222222223,0.5366467776824875
orig,43,thinkpad-2,dir,recording-setting,0.6527777777777778,0.6978402791439744,0.6527777777777779,0.6308641798202597
orig,43,flow-2,noise,environment,0.5173611111111112,0.6640786820737357,0.5173611111111112,0.5159583005737258
orig,43,flow-2,rir,environment,0.5791666666666667,0.6633221947011364,0.5791666666666666,0.5706904326195192
orig,43,flow-2,dir,recording-setting,0.6902777777777778,0.7400464990765051,0.6902777777777778,0.6792605761743822
orig,44,thinkpad,noise,environment,0.8381944444444445,0.9143434929958568,0.8381944444444444,0.8571412976629155
orig,44,thinkpad,rir,environment,0.9194444444444444,0.9311745956628152,0.9194444444444444,0.9169503222716376
orig,44,thinkpad,dir,recording-setting,0.9729166666666668,0.9789904302302,0.9729166666666668,0.9719062801850216
orig,44,vivo,noise,environment,0.8166666666666667,0.8625571152476103,0.8166666666666667,0.8187562135858358
orig,44,vivo,rir,environment,0.8680555555555556,0.8967090345922427,0.8680555555555556,0.8649514842188245
orig,44,vivo,dir,recording-setting,0.9375,0.9507658577713668,0.9375,0.9342722855363664
orig,44,flow,noise,environment,0.8652777777777778,0.8996182376097523,0.8652777777777777,0.8727781659661009
orig,44,flow,rir,environment,0.9361111111111112,0.9454556920579223,0.9361111111111112,0.9355081769098322
orig,44,flow,dir,recording-setting,0.9569444444444444,0.9661859802626772,0.9569444444444444,0.955545421870578
orig,44,thinkpad-2,noise,environment,0.5013888888888889,0.7356593402122461,0.5013888888888889,0.4985343610896584
orig,44,thinkpad-2,rir,environment,0.7069444444444445,0.8087249374459766,0.7069444444444444,0.7045205389627259
orig,44,thinkpad-2,dir,recording-setting,0.7347222222222223,0.8022776145411923,0.7347222222222224,0.709204133997305
orig,44,flow-2,noise,environment,0.5326388888888889,0.7169166270119304,0.5326388888888889,0.5291407659679525
orig,44,flow-2,rir,environment,0.7069444444444445,0.813660793456014,0.7069444444444444,0.698469668141339
orig,44,flow-2,dir,recording-setting,0.7729166666666667,0.8438068488910324,0.7729166666666667,0.7537350192715554
