variant,seed,dataset,class,recall
orig,42,thinkpad,A#_diminished_4,1.0
orig,42,thinkpad,A#_major_4,1.0
orig,42,thinkpad,A#_minor_4,1.0
orig,42,thinkpad,A_diminished_4,1.0
orig,42,thinkpad,A_major_4,0.9
orig,42,thinkpad,A_minor_4,1.0
orig,42,thinkpad,B_diminished_4,1.0
orig,42,thinkpad,B_major_4,1.0
orig,42,thinkpad,B_minor_4,1.0
orig,42,thinkpad,C#_diminished_4,1.0
orig,42,thinkpad,C#_major_4,1.0
orig,42,thinkpad,C#_minor_4,1.0
orig,42,thinkpad,C_diminished_4,1.0
orig,42,thinkpad,C_major_4,1.0
orig,42,thinkpad,C_minor_4,1.0
orig,42,thinkpad,D#_diminished_4,1.0
orig,42,thinkpad,D#_major_4,1.0
orig,42,thinkpad,D#_minor_4,1.0
orig,42,thinkpad,D_diminished_4,1.0
orig,42,thinkpad,D_major_4,0.975
orig,42,thinkpad,D_minor_4,0.975
orig,42,thinkpad,E_diminished_4,1.0
orig,42,thinkpad,E_major_4,1.0
orig,42,thinkpad,E_minor_4,1.0
orig,42,thinkpad,F#_diminished_4,0.975
orig,42,thinkpad,F#_major_4,1.0
orig,42,thinkpad,F#_minor_4,1.0
orig,42,thinkpad,F_diminished_4,1.0
orig,42,thinkpad,F_major_4,1.0
orig,42,thinkpad,F_minor_4,1.0
orig,42,thinkpad,G#_diminished_4,1.0
orig,42,thinkpad,G#_major_4,1.0
orig,42,thinkpad,G#_minor_4,1.0
orig,42,thinkpad,G_diminished_4,1.0
orig,42,thinkpad,G_major_4,1.0
orig,42,thinkpad,G_minor_4,1.0
orig,42,vivo,A#_diminished_4,1.0
orig,42,vivo,A#_major_4,0.975
orig,42,vivo,A#_minor_4,1.0
orig,42,vivo,A_diminished_4,1.0
orig,42,vivo,A_major_4,1.0
orig,42,vivo,A_minor_4,1.0
orig,42,vivo,B_diminished_4,1.0
orig,42,vivo,B_major_4,1.0
orig,42,vivo,B_minor_4,1.0
orig,42,vivo,C#_diminished_4,0.95
orig,42,vivo,C#_major_4,1.0
orig,42,vivo,C#_minor_4,1.0
orig,42,vivo,C_diminished_4,1.0
orig,42,vivo,C_major_4,1.0
orig,42,vivo,C_minor_4,1.0
orig,42,vivo,D#_diminished_4,0.7
orig,42,vivo,D#_major_4,1.0
orig,42,vivo,D#_minor_4,0.95
orig,42,vivo,D_diminished_4,1.0
orig,42,vivo,D_major_4,1.0
orig,42,vivo,D_minor_4,0.975
orig,42,vivo,E_diminished_4,0.0
orig,42,vivo,E_major_4,1.0
orig,42,vivo,E_minor_4,0.95
orig,42,vivo,F#_diminished_4,1.0
orig,42,vivo,F#_major_4,1.0
orig,42,vivo,F#_minor_4,0.05
orig,42,vivo,F_diminished_4,1.0
orig,42,vivo,F_major_4,0.975
orig,42,vivo,F_minor_4,1.0
orig,42,vivo,G#_diminished_4,0.95
orig,42,vivo,G#_major_4,1.0
orig,42,vivo,G#_minor_4,1.0
orig,42,vivo,G_diminished_4,0.075
orig,42,vivo,G_major_4,1.0
orig,42,vivo,G_minor_4,0.775
orig,42,flow,A#_diminished_4,1.0
orig,42,flow,A#_major_4,1.0
orig,42,flow,A#_minor_4,1.0
orig,42,flow,A_diminished_4,1.0
orig,42,flow,A_major_4,1.0
orig,42,flow,A_minor_4,1.0
