variant,seed,n_train,n_val,n_test,epochs_run,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,recall_D_minor_4,recall_E_diminished_4,recall_G#_diminished_4
orig,42,5760,720,720,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,43,5760,720,720,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,44,5760,720,720,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,45,5760,720,720,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,46,5760,720,720,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,42,5736,718,718,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,43,5736,718,718,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,44,5736,718,718,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,45,5736,718,718,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,46,5736,718,718,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
