source_index,orig_index,file,label,split
3,3,A#_diminished_4/A#_diminished_4-101.ogg,A#_diminished_4,test
4,4,A#_diminished_4/A#_diminished_4-102.ogg,A#_diminished_4,test
17,17,A#_diminished_4/A#_diminished_4-114.ogg,A#_diminished_4,test
20,20,A#_diminished_4/A#_diminished_4-117.ogg,A#_diminished_4,test
22,22,A#_diminished_4/A#_diminished_4-119.ogg,A#_diminished_4,test
28,28,A#_diminished_4/A#_diminished_4-124.ogg,A#_diminished_4,test
29,29,A#_diminished_4/A#_diminished_4-125.ogg,A#_diminished_4,test
34,34,A#_diminished_4/A#_diminished_4-13.ogg,A#_diminished_4,test
36,36,A#_diminished_4/A#_diminished_4-131.ogg,A#_diminished_4,test
37,37,A#_diminished_4/A#_diminished_4-132.ogg,A#_diminished_4,test
44,44,A#_diminished_4/A#_diminished_4-139.ogg,A#_diminished_4,test
48,48,A#_diminished_4/A#_diminished_4-142.ogg,A#_diminished_4,test
53,53,A#_diminished_4/A#_diminished_4-147.ogg,A#_diminished_4,test
56,56,A#_diminished_4/A#_diminished_4-15.ogg,A#_diminished_4,test
69,69,A#_diminished_4/A#_diminished_4-161.ogg,A#_diminished_4,test
71,71,A#_diminished_4/A#_diminished_4-163.ogg,A#_diminished_4,test
77,77,A#_diminished_4/A#_diminished_4-169.ogg,A#_diminished_4,test
91,91,A#_diminished_4/A#_diminished_4-181.ogg,A#_diminished_4,test
96,96,A#_diminished_4/A#_diminished_4-186.ogg,A#_diminished_4,test
99,99,A#_diminished_4/A#_diminished_4-189.ogg,A#_diminished_4,test
102,102,A#_diminished_4/A#_diminished_4-191.ogg,A#_diminished_4,test
103,103,A#_diminished_4/A#_diminished_4-192.ogg,A#_diminished_4,test
105,105,A#_diminished_4/A#_diminished_4-194.ogg,A#_diminished_4,test
109,109,A#_diminished_4/A#_diminished_4-198.ogg,A#_diminished_4,test
113,113,A#_diminished_4/A#_diminished_4-200.ogg,A#_diminished_4,test
115,115,A#_diminished_4/A#_diminished_4-22.ogg,A#_diminished_4,test
122,122,A#_diminished_4/A#_diminished_4-29.ogg,A#_diminished_4,test
123,123,A#_diminished_4/A#_diminished_4-3.ogg,A#_diminished_4,test
127,127,A#_diminished_4/A#_diminished_4-33.ogg,A#_diminished_4,test
133,133,A#_diminished_4/A#_diminished_4-39.ogg,A#_diminished_4,test
135,135,A#_diminished_4/A#_diminished_4-40.ogg,A#_diminished_4,test
139,139,A#_diminished_4/A#_diminished_4-44.ogg,A#_diminished_4,test
157,157,A#_diminished_4/A#_diminished_4-60.ogg,A#_diminished_4,test
161,161,A#_diminished_4/A#_diminished_4-64.ogg,A#_diminished_4,test
176,176,A#_diminished_4/A#_diminished_4-78.ogg,A#_diminished_4,test
178,178,A#_diminished_4/A#_diminished_4-8.ogg,A#_diminished_4,test
182,182,A#_diminished_4/A#_diminished_4-83.ogg,A#_diminished_4,test
183,183,A#_diminished_4/A#_diminished_4-84.ogg,A#_diminished_4,test
184,184,A#_diminished_4/A#_diminished_4-85.ogg,A#_diminished_4,test
190,190,A#_diminished_4/A#_diminished_4-90.ogg,A#_diminished_4,test
209,209,A#_major_4/A#_major_4-107.ogg,A#_major_4,test
211,211,A#_major_4/A#_major_4-109.ogg,A#_major_4,test
216,216,A#_major_4/A#_major_4-113.ogg,A#_major_4,test
224,224,A#_major_4/A#_major_4-120.ogg,A#_major_4,test
232,232,A#_major_4/A#_major_4-128.ogg,A#_major_4,test
236,236,A#_major_4/A#_major_4-131.ogg,A#_major_4,test
243,243,A#_major_4/A#_major_4-138.ogg,A#_major_4,test
254,254,A#_major_4/A#_major_4-148.ogg,A#_major_4,test
255,255,A#_major_4/A#_major_4-149.ogg,A#_major_4,test
276,276,A#_major_4/A#_major_4-168.ogg,A#_major_4,test
284,284,A#_major_4/A#_major_4-175.ogg,A#_major_4,test
289,289,A#_major_4/A#_major_4-18.ogg,A#_major_4,test
301,302,A#_major_4/A#_major_4-191.ogg,A#_major_4,test
304,305,A#_major_4/A#_major_4-194.ogg,A#_major_4,test
307,309,A#_major_4/A#_major_4-198.ogg,A#_major_4,test
315,318,A#_major_4/A#_major_4-25.ogg,A#_major_4,test
322,325,A#_major_4/A#_major_4-31.ogg,A#_major_4,test
324,327,A#_major_4/A#_major_4-33.ogg,A#_major_4,test
325,329,A#_major_4/A#_major_4-35.ogg,A#_major_4,test
332,336,A#_major_4/A#_major_4-41.ogg,A#_major_4,test
334,338,A#_major_4/A#_major_4-43.ogg,A#_major_4,test
335,339,A#_major_4/A#_major_4-44.ogg,A#_major_4,test
336,340,A#_major_4/A#_major_4-45.ogg,A#_major_4,test
339,343,A#_major_4/A#_major_4-48.ogg,A#_major_4,test
351,356,A#_major_4/A#_major_4-6.ogg,A#_major_4,test
353,358,A#_major_4/A#_major_4-61.ogg,A#_major_4,test
357,364,A#_major_4/A#_major_4-67.ogg,A#_major_4,test
365,373,A#_major_4/A#_major_4-75.ogg,A#_major_4,test
369,377,A#_major_4/A#_major_4-79.ogg,A#_major_4,test
371,379,A#_major_4/A#_major_4-80.ogg,A#_major_4,test
372,380,A#_major_4/A#_major_4-81.ogg,A#_major_4,test
374,382,A#_major_4/A#_major_4-83.ogg,A#_major_4,test
378,387,A#_major_4/A#_major_4-88.ogg,A#_major_4,test
379,389,A#_major_4/A#_major_4-9.ogg,A#_major_4,test
385,397,A#_major_4/A#_major_4-97.ogg,A#_major_4,test
386,398,A#_major_4/A#_major_4-98.ogg,A#_major_4,test
387,399,A#_major_4/A#_major_4-99.ogg,A#_major_4,test
390,402,A#_minor_4/A#_minor_4-100.ogg,A#_minor_4,test
392,404,A#_minor_4/A#_minor_4-102.ogg,A#_minor_4,test
394,406,A#_minor_4/A#_minor_4-104.ogg,A#_minor_4,test
400,412,A#_minor_4/A#_minor_4-11.ogg,A#_minor_4,test
401,413,A#_minor_4/A#_minor_4-110.ogg,A#_minor_4,test
404,416,A#_minor_4/A#_minor_4-113.ogg,A#_minor_4,test
405,417,A#_minor_4/A#_minor_4-114.ogg,A#_minor_4,test
411,423,A#_minor_4/A#_minor_4-12.ogg,A#_minor_4,test
414,426,A#_minor_4/A#_minor_4-122.ogg,A#_minor_4,test
422,434,A#_minor_4/A#_minor_4-13.ogg,A#_minor_4,test
424,436,A#_minor_4/A#_minor_4-131.ogg,A#_minor_4,test
427,439,A#_minor_4/A#_minor_4-134.ogg,A#_minor_4,test
437,449,A#_minor_4/A#_minor_4-143.ogg,A#_minor_4,test
442,454,A#_minor_4/A#_minor_4-148.ogg,A#_minor_4,test
