source_index,orig_index,file,label,split
6,6,A#_diminished_4/A#_diminished_4-104.ogg,A#_diminished_4,test
9,9,A#_diminished_4/A#_diminished_4-107.ogg,A#_diminished_4,test
10,10,A#_diminished_4/A#_diminished_4-108.ogg,A#_diminished_4,test
13,13,A#_diminished_4/A#_diminished_4-110.ogg,A#_diminished_4,test
16,16,A#_diminished_4/A#_diminished_4-113.ogg,A#_diminished_4,test
19,19,A#_diminished_4/A#_diminished_4-116.ogg,A#_diminished_4,test
24,24,A#_diminished_4/A#_diminished_4-120.ogg,A#_diminished_4,test
25,25,A#_diminished_4/A#_diminished_4-121.ogg,A#_diminished_4,test
27,27,A#_diminished_4/A#_diminished_4-123.ogg,A#_diminished_4,test
32,32,A#_diminished_4/A#_diminished_4-128.ogg,A#_diminished_4,test
33,33,A#_diminished_4/A#_diminished_4-129.ogg,A#_diminished_4,test
39,39,A#_diminished_4/A#_diminished_4-134.ogg,A#_diminished_4,test
40,40,A#_diminished_4/A#_diminished_4-135.ogg,A#_diminished_4,test
55,55,A#_diminished_4/A#_diminished_4-149.ogg,A#_diminished_4,test
66,66,A#_diminished_4/A#_diminished_4-159.ogg,A#_diminished_4,test
70,70,A#_diminished_4/A#_diminished_4-162.ogg,A#_diminished_4,test
73,73,A#_diminished_4/A#_diminished_4-165.ogg,A#_diminished_4,test
81,81,A#_diminished_4/A#_diminished_4-172.ogg,A#_diminished_4,test
82,82,A#_diminished_4/A#_diminished_4-173.ogg,A#_diminished_4,test
89,89,A#_diminished_4/A#_diminished_4-18.ogg,A#_diminished_4,test
107,107,A#_diminished_4/A#_diminished_4-196.ogg,A#_diminished_4,test
114,114,A#_diminished_4/A#_diminished_4-21.ogg,A#_diminished_4,test
116,116,A#_diminished_4/A#_diminished_4-23.ogg,A#_diminished_4,test
117,117,A#_diminished_4/A#_diminished_4-24.ogg,A#_diminished_4,test
120,120,A#_diminished_4/A#_diminished_4-27.ogg,A#_diminished_4,test
131,131,A#_diminished_4/A#_diminished_4-37.ogg,A#_diminished_4,test
134,134,A#_diminished_4/A#_diminished_4-4.ogg,A#_diminished_4,test
138,138,A#_diminished_4/A#_diminished_4-43.ogg,A#_diminished_4,test
143,143,A#_diminished_4/A#_diminished_4-48.ogg,A#_diminished_4,test
155,155,A#_diminished_4/A#_diminished_4-59.ogg,A#_diminished_4,test
159,159,A#_diminished_4/A#_diminished_4-62.ogg,A#_diminished_4,test
164,164,A#_diminished_4/A#_diminished_4-67.ogg,A#_diminished_4,test
165,165,A#_diminished_4/A#_diminished_4-68.ogg,A#_diminished_4,test
167,167,A#_diminished_4/A#_diminished_4-7.ogg,A#_diminished_4,test
169,169,A#_diminished_4/A#_diminished_4-71.ogg,A#_diminished_4,test
170,170,A#_diminished_4/A#_diminished_4-72.ogg,A#_diminished_4,test
173,173,A#_diminished_4/A#_diminished_4-75.ogg,A#_diminished_4,test
181,181,A#_diminished_4/A#_diminished_4-82.ogg,A#_diminished_4,test
189,189,A#_diminished_4/A#_diminished_4-9.ogg,A#_diminished_4,test
194,194,A#_diminished_4/A#_diminished_4-94.ogg,A#_diminished_4,test
207,207,A#_major_4/A#_major_4-105.ogg,A#_major_4,test
208,208,A#_major_4/A#_major_4-106.ogg,A#_major_4,test
215,215,A#_major_4/A#_major_4-112.ogg,A#_major_4,test
221,221,A#_major_4/A#_major_4-118.ogg,A#_major_4,test
226,226,A#_major_4/A#_major_4-122.ogg,A#_major_4,test
227,227,A#_major_4/A#_major_4-123.ogg,A#_major_4,test
241,241,A#_major_4/A#_major_4-136.ogg,A#_major_4,test
244,244,A#_major_4/A#_major_4-139.ogg,A#_major_4,test
245,245,A#_major_4/A#_major_4-14.ogg,A#_major_4,test
249,249,A#_major_4/A#_major_4-143.ogg,A#_major_4,test
251,251,A#_major_4/A#_major_4-145.ogg,A#_major_4,test
