trial,fold,lr,batch_size,seed,epochs_run,val_loss,val_accuracy,test_loss,test_accuracy,minutes
4,0,0.001,32,42,26,0.0014206678606569,1.0,0.0,1.0,3.65
0,0,0.01,16,42,13,0.0072925989516079,0.9986072182655334,0.0019287241157144,0.9993031620979308,2.1333333333333333
0,1,0.01,16,43,22,3.5835232734680176,0.0278551541268825,3.583456993103028,0.0278745647519826,3.3666666666666667
0,2,0.01,16,44,23,3.583529472351074,0.0278551541268825,3.5834012031555176,0.02789400331676,3.4833333333333334
0,3,0.01,16,45,20,3.583522319793701,0.0278551541268825,3.5834202766418457,0.02789400331676,3.1
0,4,0.01,16,46,22,3.583517074584961,0.0278551541268825,3.583418369293213,0.02789400331676,3.316666666666667
1,0,0.01,32,42,18,3.583667039871216,0.0278551541268825,3.583601951599121,0.0278745647519826,2.533333333333333
1,1,0.01,32,43,17,3.5836517810821533,0.0278551541268825,3.583573341369629,0.0278745647519826,2.433333333333333
1,2,0.01,32,44,16,3.5836973190307617,0.0278551541268825,3.5835676193237305,0.02789400331676,2.3
1,3,0.01,32,45,21,3.583546161651612,0.0278551541268825,3.5834689140319824,0.02789400331676,2.933333333333333
1,4,0.01,32,46,20,3.5835468769073486,0.0278551541268825,3.5834460258483887,0.02789400331676,2.783333333333333
2,0,0.01,64,42,15,3.583540678024292,0.0278551541268825,3.583479642868042,0.0278745647519826,2.033333333333333
2,1,0.01,64,43,15,3.5835351943969727,0.0278551541268825,3.583468437194824,0.0278745647519826,2.0166666666666666
2,2,0.01,64,44,16,3.583523988723755,0.0278551541268825,3.583437442779541,0.02789400331676,2.15
2,3,0.01,64,45,13,3.5835657119750977,0.0278551541268825,3.5834665298461914,0.02789400331676,1.8
2,4,0.01,64,46,14,3.5835421085357666,0.0278551541268825,3.583446741104126,0.02789400331676,1.9
3,0,0.001,16,42,8,0.0029857386834919,0.9986072182655334,3.0078260806476464e-06,1.0,1.3833333333333333
3,1,0.001,16,43,22,1.2003648919289844e-07,1.0,0.0001618218811927,1.0,3.316666666666667
3,2,0.001,16,44,17,1.16220744139639e-09,1.0,0.0009133516578003,1.0,2.6333333333333333
3,3,0.001,16,45,12,0.0,1.0,7.86616001278162e-05,1.0,1.933333333333333
3,4,0.001,16,46,11,0.0025069678667932,0.9986072182655334,1.517953052143639e-07,1.0,1.7833333333333334
4,1,0.001,32,43,23,9.463688499522505e-09,1.0,2.4982211471069604e-05,1.0,3.15
4,2,0.001,32,44,11,2.324414216658965e-09,1.0,0.0013943521771579,0.999302625656128,1.65
4,3,0.001,32,45,16,2.209819740528474e-07,1.0,0.0004446246311999,1.0,2.283333333333333
4,4,0.001,32,46,10,0.0013438633177429,1.0,1.345002544894669e-07,1.0,1.5166666666666666
5,0,0.001,64,42,10,0.0021903379820287,1.0,9.60040488280356e-05,1.0,1.45
5,1,0.001,64,43,19,2.4738399773127643e-08,1.0,3.3588287351449253e-06,1.0,2.533333333333333
5,2,0.001,64,44,16,3.1545615009065382e-09,1.0,0.0025273994542658,0.999302625656128,2.183333333333333
5,3,0.001,64,45,20,1.793119253079567e-08,1.0,0.0004007004026789,1.0,2.65
5,4,0.001,64,46,12,0.0050102639943361,0.9986072182655334,2.1388607365224743e-06,1.0,1.6833333333333331
7,0,0.0001,32,42,16,0.0008124564774334,1.0,1.3042405377916566e-08,1.0,2.2666666666666666
7,1,0.0001,32,43,21,1.0526267857358108e-07,1.0,1.1108402759418825e-05,1.0,2.9166666666666665
7,2,0.0001,32,44,17,1.6436933591990055e-08,1.0,0.0012411678908392,0.999302625656128,2.4
7,3,0.0001,32,45,30,2.1019343421357922e-07,1.0,0.0002181094605475,1.0,4.033333333333333
7,4,0.0001,32,46,12,0.0006437391857616,1.0,3.7076127057389385e-08,1.0,1.7666666666666666
8,0,0.0001,64,42,10,0.0029655268881469,0.9986072182655334,9.681614756118506e-06,1.0,1.45
8,1,0.0001,64,43,20,7.648960718142916e-07,1.0,2.158180905098561e-06,1.0,2.6666666666666665
8,2,0.0001,64,44,26,8.537226676708087e-07,1.0,0.0030579080339521,0.999302625656128,3.3833333333333333
8,3,0.0001,64,45,17,4.5591698949465364e-07,1.0,4.785825512954034e-05,1.0,2.3
8,4,0.0001,64,46,14,0.0020719429012387,0.9986072182655334,1.4090628042140454e-07,1.0,1.933333333333333
6,0,0.0001,16,42,15,0.0006325363065116,1.0,0.0,1.0,2.4833333333333334
6,1,0.0001,16,43,19,1.992355613822383e-09,1.0,1.0049617230833974e-05,1.0,3.0
6,2,0.0001,16,44,12,0.0,1.0,0.0003929848899133,1.0,1.9833333333333327
6,3,0.0001,16,45,14,0.0,1.0,0.0001121052409871,1.0,2.2666666666666666
6,4,0.0001,16,46,12,5.751592470915057e-05,1.0,8.313059962627989e-11,1.0,1.9666666666666666
