variant,seed,dataset,overlay,class,recall
clean,42,thinkpad,noise,A#_diminished_4,1.0
clean,42,thinkpad,noise,A#_major_4,1.0
clean,42,thinkpad,noise,A#_minor_4,1.0
clean,42,thinkpad,noise,A_diminished_4,1.0
clean,42,thinkpad,noise,A_major_4,1.0
clean,42,thinkpad,noise,A_minor_4,1.0
clean,42,thinkpad,noise,B_diminished_4,1.0
clean,42,thinkpad,noise,B_major_4,1.0
clean,42,thinkpad,noise,B_minor_4,1.0
clean,42,thinkpad,noise,C#_diminished_4,1.0
clean,42,thinkpad,noise,C#_major_4,1.0
clean,42,thinkpad,noise,C#_minor_4,1.0
clean,42,thinkpad,noise,C_diminished_4,1.0
clean,42,thinkpad,noise,C_major_4,1.0
clean,42,thinkpad,noise,C_minor_4,1.0
clean,42,thinkpad,noise,D#_diminished_4,1.0
clean,42,thinkpad,noise,D#_major_4,1.0
clean,42,thinkpad,noise,D#_minor_4,1.0
clean,42,thinkpad,noise,D_diminished_4,1.0
clean,42,thinkpad,noise,D_major_4,1.0
clean,42,thinkpad,noise,D_minor_4,1.0
clean,42,thinkpad,noise,E_diminished_4,1.0
clean,42,thinkpad,noise,E_major_4,1.0
clean,42,thinkpad,noise,E_minor_4,1.0
clean,42,thinkpad,noise,F#_diminished_4,1.0
clean,42,thinkpad,noise,F#_major_4,1.0
clean,42,thinkpad,noise,F#_minor_4,1.0
clean,42,thinkpad,noise,F_diminished_4,0.975
clean,42,thinkpad,noise,F_major_4,1.0
clean,42,thinkpad,noise,F_minor_4,1.0
clean,42,thinkpad,noise,G#_diminished_4,1.0
clean,42,thinkpad,noise,G#_major_4,1.0
clean,42,thinkpad,noise,G#_minor_4,1.0
clean,42,thinkpad,noise,G_diminished_4,1.0
clean,42,thinkpad,noise,G_major_4,1.0
clean,42,thinkpad,noise,G_minor_4,1.0
clean,42,thinkpad,rir,A#_diminished_4,1.0
clean,42,thinkpad,rir,A#_major_4,1.0
clean,42,thinkpad,rir,A#_minor_4,1.0
clean,42,thinkpad,rir,A_diminished_4,1.0
clean,42,thinkpad,rir,A_major_4,1.0
clean,42,thinkpad,rir,A_minor_4,1.0
clean,42,thinkpad,rir,B_diminished_4,1.0
clean,42,thinkpad,rir,B_major_4,1.0
clean,42,thinkpad,rir,B_minor_4,1.0
clean,42,thinkpad,rir,C#_diminished_4,1.0
clean,42,thinkpad,rir,C#_major_4,1.0
clean,42,thinkpad,rir,C#_minor_4,1.0
clean,42,thinkpad,rir,C_diminished_4,1.0
clean,42,thinkpad,rir,C_major_4,1.0
clean,42,thinkpad,rir,C_minor_4,1.0
clean,42,thinkpad,rir,D#_diminished_4,1.0
clean,42,thinkpad,rir,D#_major_4,1.0
clean,42,thinkpad,rir,D#_minor_4,1.0
clean,42,thinkpad,rir,D_diminished_4,1.0
clean,42,thinkpad,rir,D_major_4,1.0
clean,42,thinkpad,rir,D_minor_4,0.95
clean,42,thinkpad,rir,E_diminished_4,1.0
clean,42,thinkpad,rir,E_major_4,1.0
clean,42,thinkpad,rir,E_minor_4,1.0
clean,42,thinkpad,rir,F#_diminished_4,1.0
clean,42,thinkpad,rir,F#_major_4,1.0
clean,42,thinkpad,rir,F#_minor_4,1.0
clean,42,thinkpad,rir,F_diminished_4,1.0
clean,42,thinkpad,rir,F_major_4,1.0
clean,42,thinkpad,rir,F_minor_4,1.0
clean,42,thinkpad,rir,G#_diminished_4,1.0
clean,42,thinkpad,rir,G#_major_4,1.0
clean,42,thinkpad,rir,G#_minor_4,1.0
clean,42,thinkpad,rir,G_diminished_4,1.0
clean,42,thinkpad,rir,G_major_4,1.0
clean,42,thinkpad,rir,G_minor_4,1.0
clean,42,thinkpad,dir,A#_diminished_4,1.0
clean,42,thinkpad,dir,A#_major_4,1.0
clean,42,thinkpad,dir,A#_minor_4,1.0
clean,42,thinkpad,dir,A_diminished_4,1.0
clean,42,thinkpad,dir,A_major_4,1.0
clean,42,thinkpad,dir,A_minor_4,1.0
clean,42,thinkpad,dir,B_diminished_4,1.0
clean,42,thinkpad,dir,B_major_4,1.0
clean,42,thinkpad,dir,B_minor_4,1.0
clean,42,thinkpad,dir,C#_diminished_4,1.0
clean,42,thinkpad,dir,C#_major_4,1.0
clean,42,thinkpad,dir,C#_minor_4,1.0
clean,42,thinkpad,dir,C_diminished_4,1.0
