variant,seed,dataset,overlay,factor,accuracy,macro_precision,macro_recall,macro_f1
clean,42,thinkpad,noise,environment,0.9993055555555556,0.9993224932249323,0.9993055555555556,0.9993054470316542
clean,42,thinkpad,rir,environment,0.9986111111111111,0.9986772486772486,0.9986111111111112,0.9986102425126815
clean,42,thinkpad,dir,recording-setting,1.0,1.0,1.0,1.0
clean,42,vivo,noise,environment,0.9993055555555556,0.9993224932249323,0.9993055555555556,0.9993054470316542
clean,42,vivo,rir,environment,0.9993055555555556,0.9993224932249323,0.9993055555555556,0.9993054470316542
clean,42,vivo,dir,recording-setting,1.0,1.0,1.0,1.0
clean,42,flow,noise,environment,0.9958333333333333,0.9959324776397946,0.9958333333333333,0.9958323645589948
clean,42,flow,rir,environment,1.0,1.0,1.0,1.0
clean,42,flow,dir,recording-setting,1.0,1.0,1.0,1.0
clean,42,thinkpad-2,noise,environment,0.9965277777777778,0.9966447283520452,0.9965277777777778,0.9965265836076443
clean,42,thinkpad-2,rir,environment,0.9993055555555556,0.9993224932249323,0.9993055555555556,0.9993054470316542
clean,42,thinkpad-2,dir,recording-setting,1.0,1.0,1.0,1.0
clean,42,flow-2,noise,environment,0.9979166666666667,0.9979327357376138,0.9979166666666666,0.9979076591828585
clean,42,flow-2,rir,environment,0.9993055555555556,0.9993224932249323,0.9993055555555556,0.9993054470316542
clean,42,flow-2,dir,recording-setting,1.0,1.0,1.0,1.0
