detector,dataset,from,to,from_root,to_root,from_qual,to_qual,same_root,true,pred,correct
spectral-flux,normal_sustain,G min,G min,G,G,min,min,True,G min,G maj,0
spectral-flux,normal_sustain,G min,G dim,G,G,min,dim,True,G dim,G dim,1
spectral-flux,normal_sustain,G dim,G♯ dim,G,G♯,dim,dim,False,G♯ dim,G♯ dim,1
spectral-flux,normal_sustain,G♯ dim,C♯ min,G♯,C♯,dim,min,False,C♯ min,C♯ min,1
spectral-flux,normal_sustain,C♯ min,A min,C♯,A,min,min,False,A min,A min,1
spectral-flux,normal_sustain,A min,C dim,A,C,min,dim,False,C dim,C dim,1
spectral-flux,normal_sustain,C dim,A min,C,A,dim,min,False,A min,A min,1
spectral-flux,normal_sustain,A min,F♯ dim,A,F♯,min,dim,False,F♯ dim,F♯ dim,1
spectral-flux,normal_sustain,F♯ dim,D dim,F♯,D,dim,dim,False,D dim,D dim,1
spectral-flux,normal_sustain,G♯ dim,D♯ dim,G♯,D♯,dim,dim,False,D♯ dim,D♯ dim,1
spectral-flux,normal_sustain,D♯ dim,G♯ min,D♯,G♯,dim,min,False,G♯ min,G♯ min,1
spectral-flux,normal_sustain,G♯ min,E dim,G♯,E,min,dim,False,E dim,E dim,1
spectral-flux,normal_sustain,E dim,G♯ min,E,G♯,dim,min,False,G♯ min,G♯ min,1
spectral-flux,normal_sustain,G♯ min,C♯ dim,G♯,C♯,min,dim,False,C♯ dim,C dim,0
spectral-flux,normal_sustain,C♯ dim,C dim,C♯,C,dim,dim,False,C dim,C dim,1
spectral-flux,normal_sustain,C dim,E maj,C,E,dim,maj,False,E maj,E maj,1
spectral-flux,normal_sustain,E maj,F♯ min,E,F♯,maj,min,False,F♯ min,F♯ min,1
spectral-flux,normal_sustain,F♯ min,G min,F♯,G,min,min,False,G min,G dim,0
spectral-flux,normal_sustain,A min,B min,A,B,min,min,False,B min,B maj,0
spectral-flux,normal_sustain,B min,D♯ min,B,D♯,min,min,False,D♯ min,D♯ min,1
spectral-flux,normal_sustain,D♯ min,D min,D♯,D,min,min,False,D min,D dim,0
spectral-flux,normal_sustain,D min,C dim,D,C,min,dim,False,C dim,C dim,1
spectral-flux,normal_sustain,C dim,F min,C,F,dim,min,False,F min,G♯ maj,0
spectral-flux,normal_sustain,F min,B maj,F,B,min,maj,False,B maj,C dim,0
spectral-flux,normal_sustain,B maj,E maj,B,E,maj,maj,False,E maj,E maj,1
spectral-flux,normal_sustain,E maj,C♯ maj,E,C♯,maj,maj,False,C♯ maj,C♯ maj,1
spectral-flux,normal_sustain,C♯ maj,G♯ min,C♯,G♯,maj,min,False,G♯ min,G♯ min,1
spectral-flux,normal_sustain,A maj,B dim,A,B,maj,dim,False,B dim,C dim,0
spectral-flux,normal_sustain,B dim,G♯ dim,B,G♯,dim,dim,False,G♯ dim,G♯ dim,1
spectral-flux,normal_sustain,G♯ dim,D min,G♯,D,dim,min,False,D min,D dim,0
spectral-flux,normal_sustain,D min,A maj,D,A,min,maj,False,A maj,A min,0
spectral-flux,normal_sustain,A maj,C maj,A,C,maj,maj,False,C maj,C maj,1
spectral-flux,normal_sustain,C maj,F dim,C,F,maj,dim,False,F dim,F dim,1
spectral-flux,normal_sustain,F dim,A min,F,A,dim,min,False,A min,A min,1
spectral-flux,normal_sustain,A min,G♯ dim,A,G♯,min,dim,False,G♯ dim,G♯ dim,1
spectral-flux,normal_sustain,G♯ dim,C♯ dim,G♯,C♯,dim,dim,False,C♯ dim,C♯ dim,1
spectral-flux,normal_sustain,G min,E maj,G,E,min,maj,False,E maj,E maj,1
spectral-flux,normal_sustain,E maj,D♯ maj,E,D♯,maj,maj,False,D♯ maj,D♯ maj,1
spectral-flux,normal_sustain,D♯ maj,A♯ dim,D♯,A♯,maj,dim,False,A♯ dim,C dim,0
spectral-flux,normal_sustain,A♯ dim,D♯ min,A♯,D♯,dim,min,False,D♯ min,D♯ min,1
spectral-flux,normal_sustain,D♯ min,C dim,D♯,C,min,dim,False,C dim,C dim,1
spectral-flux,normal_sustain,C dim,C♯ min,C,C♯,dim,min,False,C♯ min,C♯ min,1
spectral-flux,normal_sustain,C♯ min,B min,C♯,B,min,min,False,B min,B maj,0
spectral-flux,normal_sustain,B min,F dim,B,F,min,dim,False,F dim,F dim,1
spectral-flux,normal_sustain,F dim,G♯ maj,F,G♯,dim,maj,False,G♯ maj,G♯ maj,1
spectral-flux,normal_sustain,G♯ min,D♯ maj,G♯,D♯,min,maj,False,D♯ maj,D♯ maj,1
spectral-flux,normal_sustain,D♯ maj,C dim,D♯,C,maj,dim,False,C dim,C dim,1
spectral-flux,normal_sustain,C dim,G min,C,G,dim,min,False,G min,C dim,0
spectral-flux,normal_sustain,G min,F maj,G,F,min,maj,False,F maj,F maj,1
spectral-flux,normal_sustain,F maj,G♯ min,F,G♯,maj,min,False,G♯ min,G♯ min,1
spectral-flux,normal_sustain,G♯ min,C maj,G♯,C,min,maj,False,C maj,C maj,1
spectral-flux,normal_sustain,C maj,C dim,C,C,maj,dim,True,C dim,C dim,1
spectral-flux,normal_sustain,C dim,F♯ min,C,F♯,dim,min,False,F♯ min,C dim,0
spectral-flux,normal_sustain,F♯ min,F♯ min,F♯,F♯,min,min,True,F♯ min,C dim,0
spectral-flux,normal_sustain,F♯ maj,D♯ maj,F♯,D♯,maj,maj,False,D♯ maj,C dim,0
spectral-flux,normal_sustain,D♯ maj,D♯ maj,D♯,D♯,maj,maj,True,D♯ maj,C dim,0
spectral-flux,normal_sustain,D♯ maj,C♯ min,D♯,C♯,maj,min,False,C♯ min,C♯ dim,0
spectral-flux,normal_sustain,C♯ min,C♯ maj,C♯,C♯,min,maj,True,C♯ maj,C dim,0
spectral-flux,normal_sustain,C♯ maj,A♯ dim,C♯,A♯,maj,dim,False,A♯ dim,C dim,0
spectral-flux,normal_sustain,A♯ dim,F maj,A♯,F,dim,maj,False,F maj,F maj,1
spectral-flux,normal_sustain,F maj,F dim,F,F,maj,dim,True,F dim,F dim,1
spectral-flux,normal_sustain,F dim,A maj,F,A,dim,maj,False,A maj,A min,0
spectral-flux,normal_sustain,A maj,A min,A,A,maj,min,True,A min,A min,1
spectral-flux,normal_sustain,C maj,F♯ min,C,F♯,maj,min,False,F♯ min,C dim,0
