detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
spectral-flux,normal_sustain,0,12.661333333333333,10,10,10,117.3,0.9752782193958666,0.8777689454160045,0.7887387387387389,0.6103249883377392,0.7887387387387389,0.6996820349761526,0.9148118706942238,0.6996820349761526
spectral-flux,normal_sustain,1,11.349333333333334,9,9,8,114.77777777777777,0.8855884613111072,0.8855884613111072,0.8174912809599811,0.8228180862250264,0.8174912809599811,0.6095347874918722,0.9713010581072296,0.6095347874918722
spectral-flux,normal_sustain,2,11.829333333333333,10,10,10,109.7,0.7511705116199879,0.6406458386538405,0.5515734513776566,0.5040334060928156,0.5515734513776566,0.657557958060214,0.9712834482562924,0.657557958060214
spectral-flux,normal_sustain,3,12.181333333333333,10,10,10,112.9,0.7841009498564173,0.6877623149988957,0.5847139385906784,0.41918265221017537,0.5847139385906784,0.640766512038878,0.9745692511597086,0.640766512038878
spectral-flux,normal_sustain,4,12.064,10,10,10,112.8,0.8523603483663393,0.6623952959449714,0.6623952959449714,0.6730523627075351,0.6623952959449714,0.6830587452155102,0.9813612913962391,0.6830587452155102
spectral-flux,normal_sustain,5,11.530666666666667,10,10,10,106.9,0.7082386529161568,0.7048301578978033,0.7048301578978033,0.6345224823485692,0.7048301578978033,0.6067703781390201,0.9829866573442871,0.6067703781390201
spectral-flux,normal_sustain,6,11.765333333333333,10,10,10,109.6,0.5476393872088388,0.46272566774873286,0.3348994817472521,0.2898351163365463,0.3348994817472521,0.6183438692408452,0.9880972720542172,0.6183438692408452
spectral-flux,normal_sustain,7,12.490666666666666,9,9,8,125.88888888888889,0.5615494360548066,0.47126436781609216,0.4687340170664084,0.41430781129157007,0.4687340170664084,0.5723707233034538,0.9828528358771434,0.5723707233034538
spectral-flux,normal_sustain,8,11.402666666666667,10,10,10,105.7,0.5769039031113457,0.44265564059705,0.44265564059705,0.383868972029566,0.44265564059705,0.6369901175918598,0.9635201313744464,0.6369901175918598
spectral-flux,normal_sustain,9,11.946666666666667,10,10,10,111.7,0.9629941362960471,0.9629941362960471,0.9629941362960471,0.9633057139782634,0.9629941362960471,0.6582498667340013,0.9629941362960471,0.6582498667340013
