,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,1.3603333333333334,0.0,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.852,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000000000007,0.0,0.009666666666666712,0.0,0.03933333333333522
A♯ maj,0.0,6.297000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.930999999999997,0.002666666666666373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0,0.0,0.0,0.0,0.0,0.0,0.009666666666667822,0.0,0.0,0.0,0.0346666666666664
A♯ min,0.0,0.0,12.29533333333333,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.145666666666668,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666669272,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0,0.0,0.07866666666667044
A dim,0.0,0.0,0.0,6.735666666666667,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,0.0,0.009000000000000341,0.0003333333333332966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.513000000000001,0.0,0.0013333333333331865,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,1.6720000000000006,3.8873333333333324,0.0,0.0,0.0,0.0,0.0019999999999988916,0.0,1.5040000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,0.0
A min,0.0,0.0070000000000014495,0.0,0.0,0.0,10.928666666666665,0.0,0.0,0.0,0.0006666666666674814,0.0,0.0,0.003666666666667595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B dim,0.0,0.0,0.004000000000001336,0.0,0.0,0.0,6.216333333333332,0.0,0.0,0.0,0.0,0.0,5.302,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333329662,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264,0.0,0.0
B maj,0.0,0.0,0.0,0.0,0.0,0.0023333333333326323,0.0,7.340333333333334,0.0,0.0,0.0,0.0,3.077333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008999999999996788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.00966666666666427,0.0,1.6706666666666665,4.2766666666666655,0.0,0.0,0.0,7.037333333333333,0.0,0.0,0.0,0.006000000000000227,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010666666666666602,0.0,0.0
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.912666666666667,0.009000000000000119,0.0,0.009333333333334082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368666666666666,0.0,0.0,0.007666666666667155,0.0,0.0,0.0,0.0,0.0,0.0,0.005999999999999783,0.0,0.008000000000000007,0.0,0.0,0.0346666666666664
