,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,6.034666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.0,26.68733333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043333333333333,0.0013333333333349628,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.0033333333333338544
A♯ maj,0.0,5.306666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65933333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999673,0.0,0.0033333333333338544,0.0039999999999995595,0.0,0.0,0.0,0.0,0.013666666666665606
A♯ min,0.0,0.0,6.145,0.0,0.0,0.007666666666665378,0.0,0.0,0.0,0.0,0.0,0.0,10.65266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0013333333333349628,0.0,0.0,0.0,0.0,0.0,0.0,0.0023333333333326323,0.007000000000000561,0.0,0.0,0.0,0.0,0.009000000000000341,0.0,0.0,0.0,0.0
A dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666817,0.0,0.0,0.0,0.0,9.037666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0006666666666639287,0.0,0.0,0.0,0.0,5.215666666666668,0.007666666666668931,0.0006666666666665932,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,9.924999999999999,0.0,0.00033333333333285253,0.0,0.0,0.0,0.0,0.0,7.1693333333333324,0.0009999999999976694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005666666666666487,0.0,0.0,0.0,0.0,0.0,0.006000000000000227,0.0020000000000000018,0.006000000000000227,0.0,0.0,0.0,0.03966666666666896
A min,0.0,0.0,0.0,0.0,0.0066666666666659324,7.582666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.854666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07800000000000296
B dim,0.0,0.0,0.0,0.0,0.0,0.0,6.841333333333333,0.005000000000002558,0.0,0.0,0.0,0.0,8.638333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633333333333308,0.0,0.010333333333333528,0.0,0.0,0.0,0.0,0.0,0.0,2.091666666666667,0.0,0.0
B maj,0.0,0.009333333333330529,0.0,0.0,0.0,0.0,0.0,16.103,0.0,0.0,0.0,0.0,10.712000000000002,0.0,0.0,0.0023333333333344086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.0,0.0023333333333332984,0.0006666666666657051,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.003666666666666707,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,15.919333333333332,0.0006666666666670373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.007666666666667155,0.0,3.021333333333333,0.0,0.0
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.007666666666666266,0.0,0.0,7.671666666666668,0.0,0.0,12.660666666666664,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999673,0.0019999999999997797,0.0,0.0,0.0,0.004666666666667041,0.0,0.0,0.0,0.0,0.0,0.0
C♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.152666666666665,0.0,16.96766666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.510666666666668,0.0,0.0,0.0,0.0,0.018333333333334423
C♯ min,0.004999999999999005,0.0,0.0,0.0,0.009666666666666934,0.0,0.0,0.001000000000000334,0.0,1.3940000000000001,0.0,5.995333333333334,1.8770000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.244666666666667,0.0,0.0,0.0040000000000000036,0.0,0.054333333333332234
C dim,0.0033333333333338544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.250333333333337,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076666666666667105,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0006666666666674814,0.0,0.0,0.0
C maj,0.0,0.0,0.004666666666667041,0.0,0.0086666666666666,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,15.619999999999997,6.065000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.009333333333330529
C min,0.0,0.008999999999999897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666651508,0.0,0.0,18.78933333333333,0.0,0.0,0.016000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006000000000000227,0.0,0.0,0.0,0.0
D♯ dim,0.0,0.0,0.0,0.0,0.0003333333333337407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.510666666666666,0.0,0.0,9.836333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666669272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030999999999998806
D♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,13.840666666666666,0.0,0.0,0.0,1.4623333333333335,0.0,0.006000000000000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055666666666663644
D♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.928999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000341
D dim,0.0,0.0,0.0,0.0,0.0,0.009333333333334082,0.0,0.0016666666666669272,0.0,0.0,0.0,0.0,11.361,0.0,0.0,0.0,0.0,0.0,4.146333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.007999999999999119,0.0,0.0,0.0,0.0,0.0,2.1899999999999995,0.0,0.0,0.0,0.0,0.024666666666664838
D maj,0.0,0.0,0.0,0.0,0.0016666666666669272,0.0,0.0,0.0,0.0,0.0,0.0,0.0043333333333350765,13.874000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0653333333333315,0.0,0.0,0.0,0.0,0.0,0.0,1.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03966666666666541
D min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71933333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00733333333333519,0.0,0.0,0.005666666666666487,0.0,0.0,0.009666666666667822,0.0,0.0
