,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.118333333333332,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03633333333333333,0.029666666666667396,0.0,0.0,0.0,0.08766666666666856
A♯ maj,0.0,6.285333333333334,0.0,0.0,0.0,0.003666666666667595,0.0,0.0,0.0,0.0,0.0,0.0,5.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999346,0.0,0.0,0.02533333333333232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346666666666664
A♯ min,0.0,0.0,7.858,0.0,0.0,0.0,0.03866666666666596,0.0,0.0,0.0,0.0,0.0,8.370666666666665,0.030666666666665066,0.0,0.0,0.0,0.0,0.0,0.03933333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030666666666666398,0.0,0.0,0.046666666666666856,0.0,0.11733333333333709
A dim,0.0,0.0,0.0,4.441666666666666,0.0,0.0086666666666666,0.0,0.0,0.0,0.015333333333333421,0.0,0.015333333333333421,2.2563333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042333333333333556,0.0,0.0,0.0,0.0,0.0,5.487000000000001,0.0,0.0013333333333331865,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,1.610666666666667,3.875,0.0,0.0,0.0,0.0,0.03399999999999892,0.0,1.5483333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A min,0.0,0.0,0.0,0.0,0.0,10.853333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000003354,0.0,0.0,0.0,0.0,0.040000000000000924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023666666666663616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B dim,0.0,0.0,0.0,0.0,0.0,0.0,4.051000000000001,0.0,0.0,0.0,0.0,0.0,7.411999999999999,0.0,0.0,0.0,0.03799999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017999999999999794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1173333333333337,0.0,0.16066666666666668
B maj,0.0,0.0,0.0,0.0,0.0,0.0023333333333326323,0.0,7.3136666666666645,0.0,0.0,0.0,0.0,3.0239999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02833333333333421,0.0,0.0,0.0,0.0,0.04899999999999949,0.011666666666666714,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6533333333333333,4.275999999999998,0.0,0.0,0.0,7.014666666666665,0.0,0.0,0.03833333333333222,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009333333333333416,0.0,0.017333333333333326
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.03133333333333255,0.0,0.0,0.0,11.874666666666666,0.0,0.0,3.9553333333333334,0.0,0.0,0.03633333333333333,0.0,0.0,0.0,0.0,0.0,1.395666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0626666666666664
C♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03366666666666651,2.801,0.0,8.723333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0493333333333332,0.0,0.0,0.0,0.0,0.09666666666666665
C♯ min,0.0,0.0,0.0,0.04899999999999949,0.0,0.0,0.0,0.0,0.0,1.5573333333333323,0.0,9.223666666666666,4.808666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999991,0.0,0.04133333333333411
C dim,0.0,0.0,0.033666666666666956,0.0,0.0,0.0,0.0,0.022666666666665947,0.0,0.0,0.0,0.0,15.45566666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028666666666666174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022333333333332206,0.0,0.0719999999999981
C maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34,12.704666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333333313,0.0,0.0,0.0,0.0,0.0,0.0,0.018999999999999684,0.0,0.0,0.0,0.0
C min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.598333333333333,0.0,2.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09366666666666637
D♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333334103,0.03233333333333377,0.043333333333333,7.296666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D♯ maj,0.0,0.02833333333333421,0.0,0.0,0.0,0.030999999999998806,0.0,0.0,0.0,0.0,0.0,0.0,10.056333333333333,0.008999999999998565,0.0,0.0,1.37,0.010333333333333528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03599999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05799999999999983,0.0,0.0,12.355333333333334,0.0,0.0,0.0,0.0,1.2509999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04700000000000015,0.0,0.037666666666666654
D dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7089999999999996,0.0,0.0,0.0,0.0,0.0,1.7373333333333338,0.0,0.0,0.0,0.0,0.01966666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.002333333333333,0.051000000000000156,0.0,0.0,0.0,0.0,0.0,1.432666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.9396666666666658,0.0,0.0,0.0,0.0,0.050666666666666416,0.0,0.0,0.0,0.0,0.06266666666666865
D min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003666666666666707,8.929333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666666714,0.0,0.0,0.04833333333333334
E dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366666666666717,0.0476666666666663,5.4783333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9170000000000007,0.0,0.0,0.0,0.0,0.02499999999999858,0.0,0.0,0.0,0.0,0.0,0.0,0.10033333333333339,0.0,0.0,0.0
E maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03966666666666541,3.5913333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.530666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633333333333308,0.0,0.0,0.0,0.0,0.0
E min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012333333333334195,0.0,0.0,0.0,0.0,0.024666666666666615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.132333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025333333333335872,0.0,0.0,0.0,0.0,0.09133333333333482
F♯ dim,0.0,0.0,0.009000000000000341,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,5.343999999999999,0.0,0.0,0.0346666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.883666666666667,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.04899999999999949,0.0,0.0,0.0,0.0,0.0,6.262666666666664,0.0,0.0,0.03933333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.437666666666669,0.0,0.0,0.0,0.0,0.0,0.04333333333333478,0.0,0.0,0.0,0.0,0.08099999999999488
F♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.471333333333332,0.003333333333332078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.349333333333332,0.0,0.0013333333333349628,0.0,0.0,0.011000000000001009,0.0,0.0,0.0,0.0,0.038666666666666655
