,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,3.2589999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.0,0.0,29.304333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016333333333333755,0.0043333333333333,0.012000000000000455,0.0,0.0,0.0,0.044000000000002704,0.0,0.0,0.0,0.0,0.09033333333333385
A♯ maj,0.0,5.266999999999999,0.0,0.0,0.0,0.0,0.0,0.0226666666666695,0.0,0.0,0.0,0.0,8.670999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333338544,0.0,0.0,0.0,0.0,0.0,0.02999999999999893
A♯ min,0.0,0.0,4.9476666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772,0.006000000000000227,0.0,0.0,0.0,0.0,0.0,0.03333333333333499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01766666666666694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04833333333333334
A dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666817,0.0,0.0,0.0,0.0,9.028666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.011333333333332973,0.0,0.0,0.0,0.0,5.195333333333332,0.0,0.0,0.0,0.0,0.016333333333333325
A maj,0.0,0.0,0.0,0.0,9.866333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666666714,7.141333333333333,0.0329999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013666666666665606,0.0,0.0,0.0,0.0,0.0890000000000023
A min,0.0,0.0,0.0,0.0,0.0173333333333332,7.54933333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8503333333333347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10500000000000295
B dim,0.0,0.0,0.0,0.0,0.020999999999999908,0.0,6.8100000000000005,0.005000000000002558,0.0,0.013666666666666494,0.0,0.0,8.606333333333332,0.0,0.0,0.016666666666667496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019333333333332092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.101000000000001,0.0,0.0
B maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.556333333333326,0.0,0.0,0.0,0.0,13.252333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009333333333334082,0.0,0.0,0.011333333333332973,0.0,0.0,0.0,0.020333333333333314,0.002333333333336185,0.0,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.01966666666666761,0.0,0.0,0.0,0.0,0.0,0.0,18.826999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015666666666666273,0.0,0.0,0.0,0.0,0.0066666666666663765,0.012666666666666604,0.0,0.0,0.0,0.07733333333333331
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.005666666666667375,0.003666666666666707,0.0,9.412,0.0,0.0,10.898666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030999999999998806,0.0,0.0,0.0
C♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010666666666665492,0.0,0.0,3.152666666666665,0.0,16.928000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.500000000000001,0.0,0.0,0.0,0.0,0.06666666666666776
C♯ min,0.026333333333331765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3940000000000001,0.0,6.026333333333335,1.888333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195666666666668,0.0,0.0,0.0,0.0,0.054333333333332234
C dim,0.0,0.008000000000000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.183,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076666666666667105,0.0,0.0,0.0,0.0,0.0,0.011333333333332973,0.0,0.0,0.04433333333333332
C maj,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.795333333333332,3.801000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02200000000000024,0.012333333333334195,0.0,0.0,0.0,0.0,0.010666666666665492,0.019333333333333425,0.0,0.0,0.0,0.05766666666666387
