,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A dim,0.0,0.0,0.0,1.177999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05400000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,0.0,2.128,0.0,0.0,0.0,0.0,0.0,0.0,0.9013333333333333,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037666666666666654
A min,0.0,0.0,0.0,0.0,0.0,6.804000000000001,0.0,0.0,0.0,0.0,0.0,0.052999999999999936,0.0346666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05366666666666653,0.0,0.0,0.0,0.0,0.0,0.0,0.02799999999999958,0.0,0.06866666666666663
B dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3980000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133333333333336,0.0,0.0,0.0,0.0,1.368333333333334,0.0,0.050666666666666416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030666666666666842,0.0,0.0,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.009666666666666712,0.0,2.4440000000000004,0.0,0.0,0.0,0.02833333333333421,1.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9730000000000008,0.0,0.0,0.9666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389999999999997,0.0,0.02133333333333365,0.0,0.0,0.0,0.0
C♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999915,2.5846666666666653,0.0,2.4850000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366666666666717,0.0,0.0,0.04066666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ min,0.0,0.0,0.0,0.038000000000000256,0.0,0.0,0.0,0.0,0.0,1.4963333333333337,0.0,5.325666666666668,0.04833333333333378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07466666666666644,0.0,0.0,0.0,0.0,0.0,0.0
C dim,0.0,0.0,0.0,0.0,0.0,0.03933333333333344,0.0,0.0,0.0,0.0,0.0,0.0,7.283999999999999,0.0389999999999997,0.0,0.0,0.06000000000000005,0.008000000000000007,0.041666666666666075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C maj,0.0,0.0,0.0,0.0,0.0,0.04233333333333267,0.0,0.0,0.0,0.0,0.0,0.0,1.1179999999999999,2.233666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997
C min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031333333333333435,0.0,2.2756666666666665,0.0,0.04900000000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0193333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666667052,0.0,0.0,0.0,0.0,0.0,0.0
D♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8456666666666663,0.0,0.0,0.0,3.9703333333333335,0.0,0.0,0.0,0.0,0.0,0.05233333333333334,0.0,0.0,0.02300000000000013,0.020999999999999908,0.0,0.0,0.0,0.0,0.0,0.03266666666666662,0.0,0.0,0.0,0.0
D♯ min,0.0,0.0,0.0,0.0,0.0,0.03599999999999959,0.0,0.024333333333333318,0.0,0.0,0.0,0.0,1.3376666666666663,0.0,0.0,0.0,0.0,2.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133333333333336,0.0,0.0,0.0,0.0,0.0,0.01699999999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019666666666665833
D maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028666666666666618,2.2903333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03600000000000003,0.0,0.0,0.0,0.0,0.0,0.0
E dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9693333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05766666666666653,0.0,0.0,0.0,0.0
E maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999999998934,0.09399999999999764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9916666666666685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035333333333332106
E min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F♯ dim,0.0,0.0,0.0,0.0,0.0,0.03599999999999959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6383333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04466666666666619,0.0,0.0,0.0,0.0
F♯ maj,0.0,0.0,1.0893333333333324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04699999999999971,0.0,0.048666666666667524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9909999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2786666666666675,0.0,0.0,0.0,0.054333333333333345,0.0,0.0,0.0,0.0,0.0,0.03733333333333455,0.0,0.0,0.0,2.6143333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011333333333332973
F dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01699999999999946,0.0,0.0,0.0,0.0,0.0,0.04366666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.796333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F maj,0.0,0.0,0.04133333333333411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366666666666717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8643333333333345,0.0,0.0,0.0,0.0023333333333326323,0.0,0.0,0.0,0.0643333333333338
F min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06766666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388,0.0,1.2173333333333334,0.0,0.0,0.0,0.0,0.0
G♯ dim,0.0,0.0,0.0,0.0,0.0,0.035333333333332106,0.0,0.0,0.0,0.0,0.0,0.04699999999999882,1.467333333333333,0.0,0.030999999999999694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0086666666666675,0.0,0.0,0.012666666666666604,0.0,0.0,0.0
G♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021999999999998465,0.0,0.0,0.0,0.8000000000000007,0.0,0.0,0.0,0.0,0.05400000000000027
G♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04266666666666641,0.0,0.0,0.04566666666666741,0.0,0.0,0.01966666666666672,0.0,0.047333333333333005,0.0,0.0,0.0,0.0,0.0,0.043999999999999595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.04566666666666694
G dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252,0.027000000000000135,0.0,0.027999999999999997
G maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9549999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000016,0.0,0.0,0.0
G min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.514333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666667052,0.0,0.0,0.0,0.03133333333333255,0.0,0.0,0.030666666666666842,0.0070000000000014495,0.0,0.0,1.8880000000000008,3.8449999999999998,0.0,0.07699999999999951
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
