,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,3.2589999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146666666666668,0.0,0.0,41.885666666666665,0.0009999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163333333333337,0.0043333333333333,0.0120000000000004,0.0049999999999998,0.0,0.0,0.080333333333336,0.0296666666666673,0.0,0.0,0.0,0.17800000000000232
A♯ maj,0.0,11.552333333333333,0.0,0.0,0.0,0.0036666666666675,0.0,0.0226666666666695,0.0,0.0,0.0,0.0,14.586999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139999999999993,0.0,0.0,0.0253333333333323,0.0,0.0,0.0,0.0,0.0033333333333338,0.0,0.0,0.0,0.0,0.0,0.0646666666666653
A♯ min,0.0,0.0,12.805666666666667,0.0,0.0,0.0,0.0386666666666659,0.0,0.0,0.0,0.0,0.0,20.142666666666663,0.036666666666665196,0.0,0.0,0.0,0.0,0.0,0.0726666666666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176666666666669,0.0,0.0,0.0,0.0306666666666663,0.0,0.0,0.0466666666666668,0.0,0.1656666666666703
A dim,0.0,0.0,0.0,5.6196666666666655,0.0,0.0086666666666666,0.0,0.0026666666666668,0.0,0.0153333333333334,0.0,0.0153333333333334,11.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540000000000002,0.0570000000000003,0.0113333333333329,0.0,0.0,0.0,0.0,10.682333333333332,0.0,0.0013333333333331,0.0,0.0,0.0163333333333333
A maj,0.0,0.0,0.0,0.0,11.476999999999999,6.003,0.0,0.0,0.0,0.0,0.0339999999999989,0.0116666666666667,9.591,0.0329999999999977,0.0,0.0,0.0,0.0,0.0039999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0136666666666656,0.0,0.0,0.0,0.0,0.1266666666666689
A min,0.0,0.0,0.0,0.0,0.0173333333333332,25.206666666666663,0.0,0.0,0.0,0.0,0.0,0.0529999999999999,3.911000000000005,0.0,0.0,0.0,0.0,0.0400000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236666666666636,0.0536666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0279999999999995,0.0,0.1736666666666695
B dim,0.0,0.0,0.0,0.0,0.0209999999999999,0.0,10.861,0.0050000000000025,0.0,0.0136666666666664,0.0,0.0,17.41633333333333,0.0,0.0,0.0166666666666674,0.0379999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019333333333332,0.0179999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218333333333335,0.0,0.1606666666666666
B maj,0.0,0.0,0.0,0.0,0.0,0.0023333333333326,0.0,21.883333333333326,0.0,0.0,0.0,0.0,17.644666666666666,0.0,0.0506666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009333333333334,0.0,0.0,0.0396666666666671,0.0,0.0,0.0,0.0510000000000001,0.0513333333333355,0.0116666666666667,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.0293333333333343,0.0,4.097333333333333,4.275999999999998,0.0,0.0,0.0283333333333342,27.035666666666668,0.0,0.0,0.0383333333333322,0.0,0.0,0.0,0.0,0.0,0.0,0.0099999999999997,0.0,0.0020000000000006,0.0,0.0156666666666662,0.0,0.0,0.0,0.0,0.0066666666666663,0.0126666666666666,0.0,0.0093333333333334,0.0,0.0946666666666666
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0313333333333325,0.0056666666666673,0.0036666666666667,0.0,22.259666666666668,0.0,0.0,15.820666666666664,0.0,0.0,0.0363333333333333,0.0,0.0,0.0,0.0,0.0,1.395666666666668,0.0,0.0,0.0,0.0069999999999996,0.0,0.0,0.0,0.0,0.0389999999999997,0.0,0.0213333333333336,0.0309999999999988,0.0,0.0,0.0626666666666664
