,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,1.3643333333333334,0.0,0.0,0.0,0.013333333333333641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.830666666666666,0.011666666666666714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000000000007,0.0,0.0,0.0,0.045000000000001886
A♯ maj,0.0,6.275666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.909666666666668,0.023999999999999133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02533333333333232,0.0,0.0,0.0,0.0,0.0,0.0,0.009666666666667822,0.0,0.0,0.0,0.0346666666666664
A♯ min,0.0,0.0,12.241333333333328,0.024333333333332874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.160999999999999,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.018000000000000682,0.0,0.0,0.0,0.0,0.0016666666666669272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000018,0.0,0.004000000000001336,0.0,0.07866666666667044
A dim,0.0,0.0,0.0,6.714666666666666,0.0,0.01933333333333387,0.0,0.0,0.0,0.015333333333333421,0.0,0.03033333333333399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.476333333333334,0.0,0.012000000000000455,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,1.650666666666666,3.876666666666667,0.0,0.0,0.0,0.0,0.023333333333333428,0.0,1.5146666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,0.0
A min,0.0,0.0070000000000014495,0.0,0.0,0.0,10.886666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02433333333333465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B dim,0.0,0.0,0.014666666666666828,0.0,0.0,0.0,6.173666666666667,0.0,0.0,0.0,0.0,0.0,7.456666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01399999999999979,0.0,0.0,0.015000000000000568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123
B maj,0.0,0.0,0.0,0.0,0.0,0.0023333333333326323,0.0,7.318999999999999,0.0,0.0,0.0,0.0,3.077333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030333333333331325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.020333333333333314,0.0,1.66,4.266,0.0,0.0,0.0,6.9836666666666645,0.0,0.0,0.04899999999999949,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031999999999998696,0.0,0.0
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.010000000000001563,0.0,0.0,0.0,15.895666666666667,0.0,0.0,0.02833333333333199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3686666666666678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018666666666667275,0.0,0.0,0.0346666666666664
C♯ maj,0.0,0.0,0.01200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.012333333333333307,4.867666666666668,0.0,6.045000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00833333333333286,0.0,0.0,0.0,0.0,0.006666666666666821,2.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5893333333333324,0.0,9.277999999999999,4.769333333333337,0.0,0.0,0.0,0.0,0.0,0.018000000000000682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008999999999999453,0.0,0.0,0.0,0.0,0.04133333333333411
C dim,0.0,0.0,0.0,0.012666666666666604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.566333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017999999999998906,0.0,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333144
C maj,0.0,0.0,0.0129999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.958666666666668,15.063333333333333,0.006666666666666821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02866666666666795,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666666714,0.0,0.0,0.0
C min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1513333333333335,0.0,4.3053333333333335,0.0,0.0303333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054999999999999716
D♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01699999999999946,0.0,0.0,0.05400000000000027,0.021666666666668277,0.0,7.2733333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.004666666666666597,0.0,0.0,0.0,0.0,0.0,8.972666666666663,0.019666666666665833,0.0,0.0,2.5190000000000015,0.021000000000000796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999997815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D♯ min,0.0,0.0,0.0,0.0,0.0,0.013333333333333641,0.0,0.0,0.0,0.0,0.0,0.0,12.436666666666667,0.0,0.0,0.0,0.0,1.2376666666666658,0.0,0.0,0.0,0.0,0.0,0.018000000000000682,0.0,0.0,0.026333333333333542,0.0,0.0,0.0,0.01699999999999946,0.0,0.0,0.0,0.0,0.0,0.0
D dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020333333333333314,0.0,0.0,0.0,0.0,0.0,3.436333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009333333333334082,0.0,0.0,0.0,0.0,0.0
D maj,0.0,0.014000000000001123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.077666666666664,0.0043333333333350765,0.0,0.0,0.0,0.0,0.0,1.4660000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.9063333333333325,0.0,0.0,0.0,0.0,0.007999999999999119,0.0,0.0,0.0,0.0,0.06266666666666865
D min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000000000000355,8.927666666666667,0.0,0.0,0.018000000000000238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022333333333333982,0.0,0.0,0.0
E dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015666666666666273,0.0,0.03699999999999992,2.918333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.343666666666668,0.0,1.2160000000000002,0.0,0.0,0.02499999999999858,0.0,0.0,0.0,0.0,0.0,0.0,0.03633333333333333,0.0,0.0,0.0
E maj,0.0,0.018000000000000682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999915,3.5839999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01699999999999946,0.0,0.0,0.0,0.0,0.0
E min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022999999999999687,0.0,0.0,0.0,0.0,5.167666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004000000000001336,0.0,0.0,0.0,0.0,0.09133333333333482
F♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356666666666694,0.0086666666666666,0.03500000000000014,0.0,0.0,2.6899999999999995,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.486666666666665,0.0,0.0,0.0,0.0,0.024333333333332874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F♯ maj,0.0,0.0,0.0,0.01100000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.927333333333333,0.0,0.0,0.01699999999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.827000000000005,0.0,0.015333333333332533,0.0,0.0,0.0,0.014666666666666606,0.020666666666667055,0.037666666666666515,0.0,0.0,0.04233333333332823
F♯ min,0.0,0.0,0.0,0.0,0.0,0.03266666666666751,0.014000000000000234,0.0,0.0,0.0,0.0,0.0,1.4189999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.030666666666666842,0.0,0.0,0.0,0.0,0.028999999999999915,0.0,14.327000000000004,0.0,0.022666666666665947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036666666666658188,0.0,0.0,0.0,0.0,0.028000000000002245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027333333333334764
F maj,0.0,0.0,0.0,0.0,0.0,0.008000000000000007,0.0,0.0,0.0,0.0,0.0,0.03366666666666873,2.661666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.934666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046999999999997044
F min,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02099999999999902,0.011666666666666714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.010333333333333528,0.010000000000001563,0.0,1.8209999999999997,0.0,9.14,0.0,0.0,0.0,0.0,0.0
G♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012333333333332419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6770000000000014,0.0,0.0,0.0,0.0,0.0,0.029666666666667396
G♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666667261,0.0,0.0,0.0,0.03300000000000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046666666666652645,9.340333333333332,0.0,0.0,0.0,0.0,0.036333333333335105
G♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.087666666666664,0.0,0.0,0.0,0.0
G dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020333333333333314,0.0,0.0,0.0,0.0,0.0259999999999998,0.0,0.008000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.266666666666666,0.0,0.0,0.0
G maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01766666666666694,2.251666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010666666666665492,0.0,9.581333333333331,0.0,0.012666666666667936
G min,0.011666666666666492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.748999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8403333333333334,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
