,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,6.0009999999999994,0.0,0.0,0.020666666666667055,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.0,0.0,26.622333333333337,0.0,0.0,0.0,0.0,0.0,0.0073333333333316375,0.0,0.0,0.0,0.0,0.0,0.0,0.026666666666665506,0.03699999999999992,0.012000000000000455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333338544
A♯ maj,0.0,5.295000000000001,0.0,0.0,0.0,0.0,0.0,0.0013333333333349628,0.0,0.0,0.0,0.0,8.648333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017666666666666053,0.0,0.0033333333333338544,0.01466666666666594,0.0,0.0,0.0,0.0,0.013666666666665606
A♯ min,0.0,0.0,7.331666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.442333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01766666666666694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A dim,0.0,0.0,0.0,1.9100000000000001,0.0,0.0,0.0,0.002666666666666817,0.0,0.0,0.0,0.0,9.034666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03599999999999959,0.03266666666666396,0.0,0.0,0.0,0.0,3.231000000000001,0.0,0.02200000000000024,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,9.866,0.0,0.01100000000000012,0.0,0.0,0.0,0.0,0.0009999999999998899,7.179999999999998,0.0329999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016333333333333755,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000000000000018,0.006000000000000227,0.0,0.0,0.0,0.03966666666666896
A min,0.0,0.0,0.0,0.0,0.02800000000000047,9.870666666666663,0.0,0.0,0.0,0.0,0.0,0.0,1.5396666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08366666666666962
B dim,0.0,0.0,0.0,0.0,0.0,0.0,6.818666666666667,0.005000000000002558,0.0,0.0,0.0,0.0,8.648999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333332646,0.0,0.010333333333333528,0.0,0.0,0.0,0.0,0.0,0.0,2.091666666666667,0.0,0.0
B maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.33566666666666,0.0,0.0,0.0,0.0,11.418000000000003,0.0006666666666674814,0.0,0.013000000000001677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025333333333334096,0.0,0.0129999999999999,0.011333333333332973,0.0,0.0,0.0,0.0,0.0063333333333357444,0.0,0.025000000000000355,0.0,0.003666666666666679
B min,0.0016666666666667052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01566666666666716,0.0,0.0,15.904999999999998,0.011333333333333417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.009666666666667156,0.0,2.993333333333333,0.0,0.017333333333333326
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.010666666666667268,0.007666666666666266,0.0,0.0,9.394666666666666,0.0,0.0,10.886333333333331,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02833333333333421,0.0,0.010666666666667268,0.0,0.0,0.01533333333333431,0.0,0.0,0.0,0.0,0.0,0.0
C♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010666666666665492,0.0,0.0,4.921999999999997,0.0,15.182000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.510666666666666,0.0,0.0,0.0,0.0,0.02400000000000109
C♯ min,0.026333333333331765,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666666714,0.0,1.3940000000000001,0.012000000000000455,6.015666666666666,1.8650000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.196333333333335,0.0,0.0,0.0040000000000000036,0.0,0.0599999999999989
C dim,0.03533333333333388,0.008000000000000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.167666666666662,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018333333333333535,0.0,0.0,0.0,0.013666666666666716,0.0,0.011333333333332973,0.0,0.0,0.0
C maj,0.0,0.0,0.004666666666667041,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.577333333333332,6.075000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02200000000000024,0.0,0.0,0.0,0.0,0.0,0.010666666666665492,0.019333333333333425,0.0,0.0,0.0,0.009333333333330529
C min,0.0,0.01966666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229999999999988,0.0,0.0,18.735333333333333,0.0,0.0,0.03733333333333455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666668
D♯ dim,0.0,0.0,0.0,0.0,0.021666666666668277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5213333333333323,0.0,0.0,9.783000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030999999999998806
D♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02400000000000002,0.0,0.0,0.0,0.0,13.825333333333331,0.0,0.0,0.0,1.4623333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055666666666663644
D♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000341
D dim,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.022999999999999687,0.0,0.0,0.0,0.0,10.167666666666667,0.0,0.0,0.0,0.0,0.0,7.497666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.007999999999999119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024666666666664838
D maj,0.0,0.0,0.007999999999999119,0.0,0.012333333333334195,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000568,13.864666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0653333333333315,0.0,0.0,0.0,0.0,0.0,0.0,1.6276666666666673,0.0,0.0,0.0,0.0,0.0,0.0013333333333331865,0.0,0.0,0.0,0.03966666666666541
D min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013666666666667382,0.0,0.0,0.0,0.0,18.656333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666666666663765,0.00733333333333519,0.0,0.0,0.027000000000001023,0.0,0.0,0.030999999999998806,0.0,0.0
E dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.360333333333333,0.0,0.0,0.0,0.009666666666667822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.155666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173333333333332
E min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.462333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6656666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.0,0.0,0.0
F♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029666666666667396,0.0,9.486666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022333333333333982,6.072333333333333,0.0,0.0,0.0,0.0,0.025000000000000355,0.0,0.0,0.029333333333333655,0.0,0.0,0.0,0.04866666666666575
F♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944333333333334,0.0,0.0,0.015999999999998238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.443,0.0,0.0,0.0,0.0,0.0,0.032999999999999474,0.0,0.0,0.009666666666666046,0.0,0.0
F♯ min,0.0,0.0,0.0,0.0,0.0,0.0129999999999999,0.0,0.0,0.0,0.009000000000000341,0.038999999999997925,0.0,5.411333333333335,0.019666666666665833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000679,16.52866666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00833333333333286
F dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.026333333333337,0.0,0.0,0.0,0.0,0.0,0.018000000000000682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.296666666666665,0.0,0.0,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.08999999999999986
F maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.069000000000003,0.0,0.0,0.008000000000000007,0.0,0.0,0.003666666666667595,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333428,0.0,0.0,1.7603333333333309,0.0,0.028999999999999915,0.029666666666667396,0.0,0.0,0.0,0.0,0.0
F min,0.0,0.0,0.0,0.0,0.0,0.029999999999997584,0.0,0.0,0.0,0.0,0.0,0.0,4.348333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03866666666666685,0.0,0.0,1.6710000000000012,0.0,13.201666666666663,0.0,0.0,0.0,0.0,0.021333333333334717
G♯ dim,0.0,0.0,0.0,0.0,0.004666666666667041,0.0,0.0,0.0,0.0,0.0,0.0,0.011333333333332973,1.536999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.769333333333336,0.0,0.0,0.0,0.0,0.0,0.08766666666666367
G♯ maj,0.03200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019666666666665833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008999999999999897,0.0,0.0,0.0,13.120666666666667,0.0,0.015333333333332533,0.0,0.0,0.016333333333333325
G♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.214999999999999,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.305,0.0,0.0,0.0,0.03499999999999677
