from,to,n,correct,missed,recall
C♯ dim,C dim,2,1,1,0.5
C♯ min,E maj,2,1,1,0.5
C♯ maj,C♯ dim,1,0,1,0.0
G dim,E dim,1,0,1,0.0
A dim,C♯ min,3,3,0,1.0
A♯ min,F dim,3,3,0,1.0
B dim,F♯ maj,3,3,0,1.0
B maj,G♯ min,3,3,0,1.0
C maj,A♯ min,3,3,0,1.0
C min,D♯ dim,3,3,0,1.0
D♯ dim,C dim,3,3,0,1.0
D♯ min,D min,3,3,0,1.0
F maj,G♯ dim,3,3,0,1.0
F min,F♯ min,3,3,0,1.0
F♯ maj,B dim,3,3,0,1.0
F♯ maj,G♯ maj,3,3,0,1.0
G dim,C♯ maj,3,3,0,1.0
G dim,G dim,3,3,0,1.0
G♯ dim,C♯ min,3,3,0,1.0
G♯ maj,A♯ dim,3,3,0,1.0
A dim,G dim,2,2,0,1.0
A maj,B dim,2,2,0,1.0
A maj,C maj,2,2,0,1.0
A maj,C♯ maj,2,2,0,1.0
A maj,D♯ maj,2,2,0,1.0
A maj,F min,2,2,0,1.0
A min,B min,2,2,0,1.0
A min,C dim,2,2,0,1.0
A♯ dim,A maj,2,2,0,1.0
A♯ dim,D maj,2,2,0,1.0
A♯ dim,D♯ min,2,2,0,1.0
A♯ min,A dim,2,2,0,1.0
A♯ min,G min,2,2,0,1.0
A♯ min,G♯ min,2,2,0,1.0
B dim,C♯ dim,2,2,0,1.0
B dim,E maj,2,2,0,1.0
B maj,E min,2,2,0,1.0
B maj,F♯ dim,2,2,0,1.0
B min,C♯ dim,2,2,0,1.0
B min,G maj,2,2,0,1.0
C dim,A dim,2,2,0,1.0
C dim,A♯ dim,2,2,0,1.0
C dim,C maj,2,2,0,1.0
C dim,F♯ min,2,2,0,1.0
C maj,D maj,2,2,0,1.0
C maj,F♯ min,2,2,0,1.0
C♯ dim,C♯ dim,2,2,0,1.0
C♯ dim,C♯ maj,2,2,0,1.0
C♯ maj,A♯ dim,2,2,0,1.0
C♯ maj,F♯ maj,2,2,0,1.0
C♯ maj,G♯ maj,2,2,0,1.0
C♯ min,B min,2,2,0,1.0
C♯ min,C♯ maj,2,2,0,1.0
D maj,A♯ min,2,2,0,1.0
D maj,C♯ min,2,2,0,1.0
D min,C min,2,2,0,1.0
D min,C♯ min,2,2,0,1.0
D min,F maj,2,2,0,1.0
D min,F min,2,2,0,1.0
D♯ dim,F♯ maj,2,2,0,1.0
D♯ maj,A♯ dim,2,2,0,1.0
D♯ maj,B maj,2,2,0,1.0
D♯ maj,C min,2,2,0,1.0
F dim,A♯ dim,2,2,0,1.0
F dim,A♯ maj,2,2,0,1.0
F dim,D min,2,2,0,1.0
F maj,C♯ maj,2,2,0,1.0
F maj,D dim,2,2,0,1.0
F min,B maj,2,2,0,1.0
F min,F♯ maj,2,2,0,1.0
F min,G min,2,2,0,1.0
F♯ dim,B maj,2,2,0,1.0
F♯ dim,F min,2,2,0,1.0
F♯ maj,C maj,2,2,0,1.0
F♯ maj,D♯ dim,2,2,0,1.0
F♯ min,A min,2,2,0,1.0
F♯ min,B min,2,2,0,1.0
F♯ min,C maj,2,2,0,1.0
F♯ min,D♯ maj,2,2,0,1.0
F♯ min,F♯ dim,2,2,0,1.0
F♯ min,F♯ min,2,2,0,1.0
G dim,C min,2,2,0,1.0
G maj,C♯ min,2,2,0,1.0
G maj,D♯ min,2,2,0,1.0
G min,F maj,2,2,0,1.0
G♯ min,B maj,2,2,0,1.0
G♯ min,C maj,2,2,0,1.0
G♯ min,G♯ min,2,2,0,1.0
A dim,A maj,1,1,0,1.0
A dim,A♯ dim,1,1,0,1.0
A dim,B maj,1,1,0,1.0
A dim,C dim,1,1,0,1.0
A dim,F maj,1,1,0,1.0
A dim,F♯ maj,1,1,0,1.0
A dim,F♯ min,1,1,0,1.0
A dim,G♯ min,1,1,0,1.0
A maj,A min,1,1,0,1.0
A maj,F maj,1,1,0,1.0
A maj,F♯ dim,1,1,0,1.0
A maj,G♯ dim,1,1,0,1.0
A maj,G♯ min,1,1,0,1.0
A min,A maj,1,1,0,1.0
A min,A min,1,1,0,1.0
A min,A♯ maj,1,1,0,1.0
A min,A♯ min,1,1,0,1.0
A min,C min,1,1,0,1.0
A min,C♯ dim,1,1,0,1.0
A min,C♯ maj,1,1,0,1.0
A min,D maj,1,1,0,1.0
A min,D♯ min,1,1,0,1.0
A min,F♯ dim,1,1,0,1.0
A min,G♯ dim,1,1,0,1.0
A♯ dim,A dim,1,1,0,1.0
A♯ dim,A♯ maj,1,1,0,1.0
A♯ dim,B maj,1,1,0,1.0
A♯ dim,B min,1,1,0,1.0
A♯ dim,C maj,1,1,0,1.0
A♯ dim,C♯ dim,1,1,0,1.0
A♯ dim,D dim,1,1,0,1.0
A♯ dim,D♯ dim,1,1,0,1.0
A♯ dim,E maj,1,1,0,1.0
A♯ dim,F dim,1,1,0,1.0
A♯ dim,F maj,1,1,0,1.0
A♯ dim,F min,1,1,0,1.0
A♯ dim,F♯ dim,1,1,0,1.0
A♯ dim,F♯ maj,1,1,0,1.0
A♯ dim,F♯ min,1,1,0,1.0
A♯ dim,G min,1,1,0,1.0
A♯ dim,G♯ min,1,1,0,1.0
A♯ maj,A♯ maj,1,1,0,1.0
A♯ maj,C dim,1,1,0,1.0
A♯ maj,C maj,1,1,0,1.0
A♯ maj,D dim,1,1,0,1.0
A♯ maj,D♯ maj,1,1,0,1.0
A♯ maj,F maj,1,1,0,1.0
A♯ maj,F♯ dim,1,1,0,1.0
A♯ maj,F♯ maj,1,1,0,1.0
A♯ maj,G♯ dim,1,1,0,1.0
A♯ maj,G♯ maj,1,1,0,1.0
A♯ maj,G♯ min,1,1,0,1.0
A♯ min,A min,1,1,0,1.0
A♯ min,A♯ min,1,1,0,1.0
A♯ min,C dim,1,1,0,1.0
A♯ min,C maj,1,1,0,1.0
A♯ min,D maj,1,1,0,1.0
A♯ min,F♯ dim,1,1,0,1.0
A♯ min,F♯ min,1,1,0,1.0
B dim,A♯ min,1,1,0,1.0
B dim,B maj,1,1,0,1.0
B dim,C min,1,1,0,1.0
B dim,D min,1,1,0,1.0
B dim,D♯ maj,1,1,0,1.0
B dim,D♯ min,1,1,0,1.0
B dim,F dim,1,1,0,1.0
B dim,F maj,1,1,0,1.0
B dim,G♯ dim,1,1,0,1.0
B maj,A min,1,1,0,1.0
B maj,A♯ dim,1,1,0,1.0
B maj,A♯ maj,1,1,0,1.0
B maj,C dim,1,1,0,1.0
B maj,C♯ dim,1,1,0,1.0
B maj,D min,1,1,0,1.0
B maj,D♯ dim,1,1,0,1.0
B maj,D♯ min,1,1,0,1.0
B maj,E maj,1,1,0,1.0
B maj,F dim,1,1,0,1.0
B maj,F♯ maj,1,1,0,1.0
B maj,F♯ min,1,1,0,1.0
B maj,G maj,1,1,0,1.0
B min,A min,1,1,0,1.0
B min,A♯ dim,1,1,0,1.0
B min,A♯ min,1,1,0,1.0
B min,B dim,1,1,0,1.0
B min,B min,1,1,0,1.0
B min,C maj,1,1,0,1.0
B min,C min,1,1,0,1.0
B min,D min,1,1,0,1.0
B min,D♯ maj,1,1,0,1.0
B min,D♯ min,1,1,0,1.0
B min,E maj,1,1,0,1.0
B min,F dim,1,1,0,1.0
B min,F maj,1,1,0,1.0
B min,F♯ min,1,1,0,1.0
B min,G♯ min,1,1,0,1.0
C dim,A maj,1,1,0,1.0
C dim,A min,1,1,0,1.0
C dim,A♯ min,1,1,0,1.0
C dim,C♯ min,1,1,0,1.0
C dim,D dim,1,1,0,1.0
C dim,D maj,1,1,0,1.0
C dim,D min,1,1,0,1.0
C dim,E maj,1,1,0,1.0
C dim,F dim,1,1,0,1.0
C dim,F min,1,1,0,1.0
C dim,F♯ maj,1,1,0,1.0
C dim,G dim,1,1,0,1.0
C dim,G maj,1,1,0,1.0
