detector,dataset,sample_index,duration,n_onsets,n_segments,n_truncated,mean_window_frames,root,thirds,triads,majmin,mirex,underseg,overseg,seg
spectral-flux,normal_sustain,0,12.661333333333333,10,10,10,117.3,0.9752782193958666,0.9752782193958666,0.9731319554848968,0.9710257606385736,0.9731319554848968,0.6996820349761526,0.9731319554848968,0.6996820349761526
spectral-flux,normal_sustain,1,11.349333333333334,9,9,8,114.77777777777777,0.8575397529112728,0.8575397529112728,0.8575397529112728,0.9574132492113567,0.8575397529112728,0.6095347874918722,0.9713010581072296,0.6095347874918722
spectral-flux,normal_sustain,2,11.829333333333333,10,10,10,109.7,0.9712834482562923,0.9712834482562923,0.9712834482562923,0.9719401474170382,0.9712834482562923,0.657557958060214,0.9712834482562924,0.657557958060214
spectral-flux,normal_sustain,3,12.181333333333333,10,10,10,112.9,0.9705931080185556,0.9705931080185556,0.9705931080185556,0.9710314150681124,0.9705931080185556,0.6854428981665563,0.9705931080185556,0.6854428981665563
spectral-flux,normal_sustain,4,12.064,10,10,10,112.8,0.9677705663726632,0.9677705663726632,0.9677705663726632,0.9552177316359742,0.9677705663726632,0.6830587452155102,0.9813612913962391,0.6830587452155102
spectral-flux,normal_sustain,5,11.530666666666667,10,10,10,106.9,0.9774514944939695,0.9740429994756161,0.9740429994756161,0.977926421404682,0.9740429994756161,0.7179106216861852,0.9759657402552,0.7179106216861852
spectral-flux,normal_sustain,6,11.765333333333333,10,10,10,109.6,0.9875277635400649,0.9818326783985419,0.9818326783985419,0.9812519860184302,0.9818326783985419,0.7226208781821288,0.9822598097841563,0.7226208781821288
spectral-flux,normal_sustain,7,12.490666666666666,9,9,8,125.88888888888889,0.8882338690139708,0.8882338690139708,0.8882338690139708,0.8484918793503479,0.8882338690139708,0.6295728014213036,0.9803763223774531,0.6295728014213036
spectral-flux,normal_sustain,8,11.402666666666667,10,10,10,105.7,0.9683586991583824,0.9635201313744464,0.9635201313744464,0.9622285174693106,0.9635201313744464,0.6369901175918598,0.9635201313744464,0.6369901175918598
spectral-flux,normal_sustain,9,11.946666666666667,10,10,10,111.7,0.9629941362960471,0.9629941362960471,0.9629941362960471,0.9633057139782634,0.9629941362960471,0.6582498667340013,0.9629941362960471,0.6582498667340013
spectral-flux,broken_sustain,0,18.901333333333334,10,10,4,162.7,0.9861081616762231,0.9861081616762231,0.9861081616762231,0.9878233451573423,0.9861081616762231,0.7171727896934947,0.987063778580024,0.7171727896934947
spectral-flux,broken_sustain,1,20.704,10,10,4,171.9,0.9255564702274305,0.9225703355769699,0.9225703355769699,0.982902653335065,0.9225703355769699,0.7379142252998242,0.9891853501848178,0.7379142252998242
spectral-flux,broken_sustain,2,20.704,10,10,3,174.7,0.9902853085463466,0.9892202427059127,0.9892202427059127,0.9882596417933542,0.9892202427059127,0.7104150529305449,0.9907694293829074,0.7104150529305449
spectral-flux,broken_sustain,3,20.405333333333335,10,10,4,172.3,0.9882715745616194,0.9866148319472468,0.9866148319472468,0.9837398373983741,0.9866148319472468,0.7136787887735183,0.9866148319472469,0.7136787887735183
spectral-flux,broken_sustain,4,18.122666666666667,10,10,6,161.2,0.9804583702391495,0.9789083259521699,0.9789083259521699,0.9786430096927878,0.9789083259521699,0.7227081488042515,0.9789083259521699,0.7227081488042515
spectral-flux,broken_sustain,5,24.842666666666666,10,10,2,181.5,0.8741625635644523,0.8741625635644523,0.8741625635644523,0.9933109734144355,0.8741625635644523,0.7244464175209191,0.989910404390992,0.7244464175209191
spectral-flux,broken_sustain,6,20.042666666666666,10,10,6,165.9,0.979551638372811,0.979551638372811,0.979551638372811,0.9810142939504184,0.979551638372811,0.6915552439614734,0.979551638372811,0.6915552439614734
spectral-flux,broken_sustain,7,21.546666666666667,10,10,4,170.3,0.9950568923708263,0.9950568923708263,0.9949169930983024,0.9947565946596274,0.9949169930983024,0.6919884349934711,0.9953211465522601,0.6919884349934711
spectral-flux,broken_sustain,8,20.88533333333333,10,10,4,169.0,0.9863448408500817,0.9863448408500817,0.9863448408500817,0.9867877060572473,0.9863448408500817,0.7257268327082732,0.9863448408500817,0.7257268327082732
