,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,32.677666666666674,0.0016666666666667052,0.0,0.009999999999999787,0.0033333333333338544,0.0,0.0,0.0016666666666669272,0.008999999999999897,0.0039999999999995595,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0016666666666669272,0.0073333333333316375,0.013333333333333641,0.0,0.0,0.0040000000000000036,0.0,0.0,0.005333333333332746,0.0006666666666674814,0.0013333333333349628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333338544
A♯ maj,0.0,13.958333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.006999999999999673,0.0,0.0033333333333338544,0.0039999999999995595,0.0,0.0,0.0,0.0,0.013666666666665606
A♯ min,0.0,0.0,16.77966666666667,0.0003333333333337407,0.0,0.007666666666665378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013333333333349628,0.0,0.0,0.0,0.0,0.0,0.0,0.0023333333333326323,0.016000000000000902,0.0,0.0,0.0,0.0,0.009000000000000341,0.0,0.0,0.0086666666666666,0.0
A dim,0.0086666666666666,0.0,0.0,14.243666666666664,0.0,0.0,0.0,0.002666666666666817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0006666666666639287,0.0,0.0009999999999994458,0.0,0.0,0.0,0.007666666666668931,0.0006666666666665932,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,17.082666666666665,0.0,0.00033333333333285253,0.0,0.0,0.0,0.009000000000000341,0.0,0.0,0.0009999999999976694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005666666666666487,0.0,0.0,0.0,0.002666666666666373,0.0020000000000000018,0.006000000000000227,0.0,0.006000000000000227,0.0,0.0,0.0,0.03966666666666896
A min,0.0,0.0,0.0009999999999994458,0.0,0.0066666666666659324,11.415333333333333,0.0,0.0,0.0016666666666669272,0.0,0.010333333333333306,0.0,0.0,0.0,0.009000000000000341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07800000000000296
B dim,0.0,0.0,0.0,0.0,0.0,0.0,17.545666666666662,0.005000000000002558,0.0,0.006666666666666821,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.010333333333333528,0.0,0.0009999999999994458,0.0,0.0,0.00633333333333308,0.0,0.010333333333333528,0.006666666666667709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B maj,0.0036666666666658188,0.009333333333330529,0.0,0.0,0.0,0.0,0.0,26.790333333333336,0.0,0.006999999999999673,0.0,0.0,0.0,0.0,0.0,0.0023333333333344086,0.0,0.0013333333333314101,0.0,0.0,0.0,0.0,0.0,0.003666666666666707,0.014666666666666828,0.009000000000000341,0.0023333333333332984,0.0006666666666657051,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.003666666666666707,0.0,0.0
B min,0.010333333333333528,0.0,0.0,0.0,0.0,0.0,0.0003333333333332966,0.0,18.919666666666664,0.009999999999999787,0.0,0.0,0.0,0.0006666666666670373,0.0,0.0,0.0,0.0,0.0,0.0,0.002666666666666373,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.002666666666666595,0.0,0.0,0.0,0.007666666666667155,0.0,0.0,0.0,0.0
C♯ dim,0.0,0.004666666666667041,0.0,0.0,0.0,0.0,0.007666666666666266,0.0030000000000001137,0.0,20.316333333333333,0.0,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999673,0.0019999999999997797,0.0,0.0,0.0,0.004666666666667041,0.0,0.0,0.0,0.0,0.008333333333333304,0.0
