,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,2.4609999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A dim,0.0,0.0,0.0,1.227333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,3.0923333333333316,0.005000000000000782,0.005333333333333412,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333337407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A min,0.0,0.0,0.0,0.0,0.0,6.976333333333334,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0033333333333329662,0.0,0.0,0.0,0.0,0.006666666666666821,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666667709,0.0,0.0,0.0,0.0,0.0,0.007333333333333414,0.0,0.0,0.0,0.0,0.0,0.04066666666666663
B dim,0.0,0.0,0.0,0.0,0.0,0.0,1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006000000000000227,0.0,0.0,0.0,0.0,0.0,0.0
B maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.460000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.663333333333335,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0076666666666667105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993333333333334,0.0,0.0,0.006666666666666821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ maj,0.0013333333333331865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.143000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01100000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.007666666666665378,0.0,0.0,0.0,0.0
