,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,45.34066666666668,0.0016666666666667,0.0,0.0099999999999997,0.006000000000000101,0.0,0.0,0.0016666666666669,0.0089999999999998,0.0039999999999995,0.0,0.0,0.0,0.0009999999999994,0.0,0.0006666666666665,0.0,0.0036666666666674997,0.0073333333333316,0.0133333333333336,0.0,0.0,0.004,0.0,0.0103333333333335,0.0053333333333327,0.0006666666666674,0.0013333333333349,0.0049999999999998,0.0,0.0,0.0,0.008,0.0,0.0,0.0096666666666667,0.042666666666669
A♯ maj,0.0,26.182666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666663,0.0026666666666663,0.0,0.0,0.0036666666666658,0.0,0.0006666666666665,0.0,0.0,0.0,0.0,0.0,0.0043333333333333,0.0040000000000013,0.0,0.0,0.0069999999999996,0.0,0.0033333333333338,0.0039999999999995,0.0096666666666678,0.0,0.0,0.0,0.048333333333332
A♯ min,0.0,0.0,33.20333333333333,0.0033333333333337998,0.0,0.0076666666666653,0.0,0.0,0.0,0.0,0.0,0.0,0.0090000000000003,0.0009999999999994,0.0,0.0,0.0,0.0,0.0,0.0013333333333349,0.0,0.0,0.0,0.0,0.0016666666666669,0.0,0.0023333333333326,0.020666666666666098,0.0,0.0,0.0,0.0,0.0110000000000003,0.0,0.0,0.0169999999999994,0.0786666666666704
A dim,0.0086666666666666,0.0,0.0,27.71966666666667,0.0086666666666666,0.0,0.0,0.0026666666666668,0.0,0.0,0.0,0.0136666666666655,0.0003333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995,0.0006666666666639,0.0,0.0009999999999994,0.0,0.0,0.0,0.0076666666666689,0.0019999999999996,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,27.226666666666663,0.0050000000000007,0.0056666666666661996,0.0,0.0,0.0,0.010999999999999099,0.0,0.0,0.0013333333333313,0.0,0.0,0.0116666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056666666666664,0.0,0.0,0.0,0.0026666666666663,0.0046666666666663,0.0060000000000002,0.0,0.0060000000000002,0.0,0.0,0.0,0.0396666666666689
A min,0.0,0.0070000000000014,0.0009999999999994,0.0,0.0066666666666659,29.32033333333333,0.0,0.0,0.0026666666666667,0.0006666666666674,0.0103333333333333,0.0,0.0070000000000004,0.0,0.0090000000000003,0.0,0.0,0.0066666666666668,0.0,0.0030000000000001,0.0,0.0,0.0,0.0,0.0066666666666677,0.0,0.0,0.0,0.0,0.0,0.0073333333333334,0.0,0.0,0.0,0.0,0.0,0.1186666666666695
B dim,0.0,0.0,0.0040000000000013,0.0,0.0,0.0,32.712666666666664,0.0050000000000025,0.0,0.0066666666666668,0.0,0.0,0.0,0.0,0.0030000000000001,0.0,0.0009999999999994,0.0053333333333336,0.0,0.0,0.0103333333333335,0.0,0.0043333333333323,0.0,0.0,0.0126666666666669,0.0,0.0103333333333335,0.0066666666666677,0.0,0.0060000000000002,0.0,0.0,0.0,0.0,0.0,0.0
B maj,0.0036666666666658,0.0093333333333305,0.0,0.0,0.0,0.0023333333333326,0.0,39.65833333333334,0.0,0.0069999999999996,0.0,0.0,0.009333333333334,0.0,0.0,0.0023333333333344,0.0,0.0013333333333314,0.0,0.0,0.0,0.0,0.0030000000000001,0.0126666666666634,0.0146666666666668,0.0090000000000003,0.0023333333333332,0.0006666666666657,0.0,0.0,0.0,0.0,0.0043333333333314,0.0,0.0036666666666667,0.0,0.0
B min,0.0103333333333335,0.0,0.0006666666666674,0.0,0.0,0.0096666666666642,0.0003333333333332,0.0,35.56699999999999,0.0099999999999997,0.0,0.0,0.0,0.000666666666667,0.0006666666666665,0.0,0.0060000000000002,0.0076666666666667,0.0,0.0,0.0026666666666663,0.0,0.0099999999999997,0.0,0.0,0.0,0.0049999999999998,0.0043333333333333,0.0026666666666665,0.0,0.0,0.0,0.0076666666666671,0.0,0.0106666666666666,0.0,0.0
C♯ dim,0.0,0.004666666666667,0.0,0.0059999999999997,0.0,0.0,0.0076666666666662,0.0030000000000001,0.0,38.22233333333334,0.0090000000000001,0.0,0.0100000000000006,0.0043333333333333,0.0,0.0,0.0,0.0060000000000002,0.0,0.0,0.0,1.368666666666666,0.0,0.0,0.0076666666666671,0.0069999999999996,0.0019999999999997,0.0,0.0,0.0,0.004666666666667,0.0,0.0,0.008,0.0,0.0083333333333333,0.0346666666666664
