,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,10.02533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04599999999999982,0.0,0.029333333333333655,0.0009999999999994458,0.0,0.0,0.01766666666666694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03633333333333333,0.029666666666667396,0.0,0.0,0.0,0.08766666666666856
A♯ maj,0.0,12.164666666666667,0.0,0.0,0.0,0.003666666666667595,0.0,0.0,0.0,0.0,0.029333333333333655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007333333333333414,0.0,0.0,0.013999999999999346,0.0,0.0,0.02533333333333232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346666666666664
A♯ min,0.0,0.0,16.176,0.0,0.0,0.0,0.03866666666666596,0.0,0.052666666666667084,0.0,0.030666666666666398,0.0,0.0,0.030666666666665066,0.0,0.0,0.0,0.0,0.0,0.03933333333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046666666666666856,0.0,0.11733333333333709
A dim,0.0,0.0,0.018333333333333535,12.137,0.0086666666666666,0.0,0.0,0.0,0.0,0.015333333333333421,0.0,0.015333333333333421,0.029666666666666508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042333333333333556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013333333333331865,0.0,0.0,0.0
A maj,0.029333333333333655,0.0,0.0,0.0,6.949666666666666,0.0,0.0,0.0,0.0,0.0,0.03399999999999892,0.0,0.031000000000000583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A min,0.0,0.0,0.0,0.0,0.0,10.853333333333333,0.0,0.0,0.02233333333333576,0.0,0.0,0.0,0.003666666666667595,0.0,0.0,0.0,0.0,0.040000000000000924,0.0,0.013666666666665606,0.0,0.0,0.0,0.0,0.0,0.0,0.00999999999999801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B dim,0.0,2.83,0.0,0.0,0.0,0.0,10.685333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045333333333333226,0.0,0.03799999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019666666666665833,0.0,0.017999999999999794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16066666666666668
B maj,0.0,0.0,0.0,0.0,0.0,0.0023333333333326323,0.0,10.332666666666665,0.0,0.004999999999999005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02833333333333421,0.0,0.0,0.0,0.0,0.04899999999999949,0.011666666666666714,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.889666666666663,0.0,0.0,0.0,0.0,0.013666666666665606,0.0,0.03833333333333222,0.0,0.0,0.0,0.0,0.0,0.0,0.050666666666666416,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009333333333333416,0.0,0.017333333333333326
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.03133333333333255,0.0,0.0,0.0,15.786333333333333,0.003333333333332078,0.0,0.0,0.0,0.0,0.03633333333333333,0.0,0.0,0.0,0.0,0.0,1.3686666666666678,0.0,0.027000000000000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04033333333333333,0.0626666666666664
