,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,32.47366666666667,0.0,0.0,0.01200000000000001,0.0033333333333338544,0.0,0.0,0.0016666666666669272,0.0216666666666665,0.014666666666666828,0.0,0.0,0.018000000000000682,0.0,0.014333333333333087,0.0006666666666665932,0.0,0.0016666666666669272,0.0073333333333316375,0.013333333333333641,0.0,0.0,0.0,0.0,0.0,0.016333333333333755,0.0,0.012000000000000455,0.0013333333333349628,0.01066666666666638,0.0,0.03200000000000269,0.0,0.0,0.0,0.0,0.09033333333333385
A♯ maj,0.04100000000000015,13.872666666666662,0.0,0.0,0.0,0.0,0.0,0.0226666666666695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366666666666717,0.0,0.0,0.0033333333333338544,0.0,0.0,0.0,0.0,0.0,0.02999999999999893
A♯ min,0.0,0.0,15.68666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28233333333333377,0.009333333333333194,0.0,0.0,0.0,0.0,0.0,0.04666666666666863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01766666666666694,0.0,0.0,0.0,0.0,0.0,0.7039999999999971,0.0,0.03000000000000025,0.04833333333333334
A dim,0.0,0.0,0.03166666666666629,14.183666666666669,0.0,0.0,0.0,0.002666666666666817,0.0,0.0,0.0,0.0,0.0076666666666667105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014666666666666828,0.011333333333332973,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016333333333333325
A maj,0.0,0.0,0.0,0.0,16.964,0.0,0.0,0.0,0.0,0.0,0.0303333333333331,0.011666666666666714,0.0,0.0329999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333641,0.013666666666665606,0.0,0.0,0.0,0.0,0.0,0.0,0.0890000000000023
A min,0.0,0.0,0.025333333333334096,0.0,0.0173333333333332,11.35533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019000000000000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10500000000000295
B dim,0.0,0.0,0.0,0.0,0.020999999999999908,0.0,17.412,0.005000000000002558,0.04233333333333311,0.013666666666666494,0.014333333333333087,0.0,0.0,0.0,0.0,0.016666666666667496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042999999999997485,0.0,0.0,0.0,0.0,0.0,0.0,0.02500000000000213,0.0,0.0,0.0,0.0
B maj,0.025000000000000355,0.0,0.0,0.0,0.0,0.0,0.0,26.430999999999997,0.0,0.0,0.0,0.020333333333333314,0.0,0.03266666666666751,0.0,0.0,0.008000000000000007,0.0,0.0,0.0,0.03966666666666718,0.0,0.0,0.21700000000000053,0.009333333333334082,0.0,0.030999999999998806,0.011333333333332973,0.0,0.0,0.0,0.0,0.002333333333336185,0.0,0.0,0.024333333333333762,0.0
B min,0.02300000000000013,0.0,0.0,0.0,0.0,0.01966666666666761,0.0,0.0,18.796333333333333,0.004999999999999893,0.0,0.0066666666666663765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015666666666666273,0.0,0.002666666666666595,0.0,0.0,0.0,0.012666666666666604,0.0,0.0,0.0,0.07733333333333331
C♯ dim,0.0,0.004666666666667041,0.0,0.0,0.0,0.0,0.014666666666667716,0.006666666666666821,0.026999999999999247,20.240000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999673,0.0,0.007999999999999119,0.0,0.0,0.0,0.0,0.0,0.030999999999998806,0.0,0.018999999999999906,0.0
C♯ maj,0.0,0.0,0.0,0.01933333333333387,0.0,0.01100000000000012,0.0,0.010666666666665492,0.003666666666666707,0.0,24.50466666666667,0.0,0.0,0.0,0.0,0.0,0.005333333333332746,0.0,0.0,0.007000000000000561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666667496,0.0,0.0,0.013000000000001677,0.0,0.0,0.0,0.0,0.06666666666666776
C♯ min,0.026333333333331765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022666666666667723,18.470333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011333333333333417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054333333333332234
C dim,0.0,0.008000000000000895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.095999999999997,0.0,0.0,0.020999999999999908,0.0,0.0,0.023333333333333428,0.0,0.020666666666667055,0.0,0.0,0.0,0.0,0.0,0.010666666666666824,0.0076666666666667105,0.0,0.0,0.0,0.0,0.0,0.011333333333332973,0.0259999999999998,0.0,0.04433333333333332
C maj,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.009999999999999787,0.01699999999999946,0.0,0.0,0.011000000000001009,21.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022666666666665947,0.02200000000000024,0.012333333333334195,0.0,0.0,0.010666666666665492,0.0,0.0,0.019333333333333425,0.0023333333333330764,0.0,0.0,0.05766666666666387
C min,0.0,0.008999999999999897,0.01966666666666672,0.0,0.0,0.0016666666666651508,0.0,0.0,0.0,0.011666666666665826,0.0,0.0006666666666657051,0.0,0.0,18.595000000000002,0.038000000000000256,0.0,0.0,0.0173333333333332,0.018333333333332646,0.015666666666666273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01633333333333331,0.0,0.0,0.014666666666666828,0.009000000000000341,0.0,0.0,0.05499999999999998
D♯ dim,0.0,0.0,0.0,0.0,0.010999999999999233,0.0,0.0,0.01899999999999835,0.0,0.0,0.0,0.0,0.022666666666667723,0.0,0.011333333333332973,13.246666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06866666666666546
D♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.020333333333333314,0.005666666666666487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.284666666666668,0.0,0.0,0.0,0.0,0.0009999999999976694,0.0,0.0,0.0,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055666666666663644
D♯ min,0.0,0.0,0.009333333333332305,0.0,0.0,0.0,0.0,0.03066666666666862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036666666666658188,8.859333333333336,0.0,0.0,0.01966666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006333333333332192,0.0,0.0,0.009000000000000341
D dim,0.01666666666666572,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.012333333333332419,0.0,0.0,0.012999999999998124,0.0,0.0,0.0,0.0,0.0,0.01533333333333431,0.011999999999998678,17.116666666666674,0.0,0.009999999999999787,0.0,0.0,0.0,0.0,0.007999999999999119,0.0,0.0,0.004000000000000448,0.0,0.0,0.0,0.0,0.4883333333333333,0.0,0.0,0.024666666666664838
D maj,0.0,0.0,0.0,0.0,0.012333333333334195,0.0,0.0,0.0,0.0,0.0,0.0,0.0043333333333350765,0.006999999999999673,0.0,0.0,0.0,0.0129999999999999,0.011666666666666714,0.0,16.51933333333333,0.0,0.0,0.0,0.025333333333334096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013333333333331865,0.0,0.0,0.0,0.03966666666666541
D min,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333337407,0.0,0.008000000000000007,0.0,0.0,0.0013333333333331865,0.0,0.0,0.025666666666666504,0.0,0.0,0.0,0.0,0.0,18.65566666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.01566666666666805,0.0,0.0043333333333333,0.0,0.0,0.0,0.0,0.030999999999998806,0.0,0.0
E dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3456666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02433333333333465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
