,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,44.93133333333333,0.0,0.0,0.012,0.0033333333333338,0.0,0.0,0.0016666666666669,0.0216666666666665,0.0146666666666668,0.0766666666666666,0.0,0.0473333333333342,0.0009999999999994,0.014333333333333,0.0006666666666665,0.0176666666666669,0.0016666666666669,0.0073333333333316,0.0133333333333336,0.0,0.0,0.0,0.0,0.0,0.0163333333333337,0.0,0.0120000000000004,0.0063333333333347,0.0106666666666663,0.0,0.06833333333333591,0.0296666666666673,0.0,0.0,0.0,0.17800000000000232
A♯ maj,0.0410000000000001,26.03733333333333,0.0,0.0,0.0,0.0036666666666675,0.0,0.0226666666666695,0.0,0.0,0.0293333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666665,0.0073333333333334,0.0,0.0,0.0139999999999993,0.0,0.0,0.0253333333333323,0.0,0.0236666666666671,0.0,0.0,0.0033333333333338,0.0,0.0,0.0,0.0,0.0,0.0646666666666653
A♯ min,0.0,0.0,31.86266666666667,0.0,0.0,0.0,0.0386666666666659,0.0,0.052666666666667,0.0,0.0306666666666663,0.0,0.2823333333333337,0.0399999999999981,0.0,0.0,0.0,0.0,0.0,0.08600000000000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176666666666669,0.0,0.0,0.0,0.0,0.0,0.7039999999999971,0.0466666666666668,0.0300000000000002,0.1656666666666703
A dim,0.0,0.0,0.0499999999999997,27.498666666666665,0.0086666666666666,0.0,0.0,0.0026666666666668,0.0,0.0153333333333334,0.0,0.0153333333333334,0.037333333333333205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540000000000002,0.0570000000000003,0.0113333333333329,0.0,0.0009999999999994,0.0,0.0,0.0,0.0,0.0013333333333331,0.0,0.0,0.0163333333333333
A maj,0.0293333333333336,0.0,0.0,0.0,26.942999999999998,0.0,0.0,0.0,0.0,0.0,0.064333333333332,0.0116666666666667,0.0310000000000005,0.0329999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0373333333333336,0.0136666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.1266666666666689
A min,0.0,0.0,0.025333333333334,0.0,0.0549999999999997,28.974999999999998,0.0,0.0,0.0223333333333357,0.0,0.0,0.0529999999999999,0.0383333333333339,0.0,0.0,0.0,0.0,0.0400000000000009,0.0,0.0136666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0289999999999981,0.0536666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279999999999995,0.1736666666666695
B dim,0.0,2.83,0.0,0.0,0.0689999999999999,0.0,29.447333333333333,0.0050000000000025,0.0423333333333331,0.0136666666666664,0.014333333333333,0.0,0.0,0.0,0.0453333333333332,0.0166666666666674,0.0379999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196666666666658,0.0429999999999974,0.0179999999999997,0.0,0.0,0.0,0.0,0.0,0.0250000000000021,0.0,0.0,0.0,0.1606666666666666
B maj,0.0250000000000003,0.0,0.0,0.0,0.0,0.0023333333333326,0.0,39.14533333333333,0.0,0.004999999999999,0.0,0.0203333333333333,0.0,0.0326666666666675,0.0506666666666664,0.0,0.008,0.0,0.0,0.0,0.0396666666666671,0.0,0.0,0.2170000000000005,0.009333333333334,0.0,0.0309999999999988,0.0396666666666671,0.0,0.0306666666666668,0.0,0.0,0.0513333333333355,0.0116666666666667,0.0,0.0243333333333337,0.0
B min,0.0230000000000001,0.0,0.0,0.0,0.0,0.0293333333333343,0.0,0.0,35.29333333333333,0.0049999999999998,0.0,0.0350000000000005,0.0,0.0443333333333324,0.0,0.0383333333333322,0.0,0.0,0.0,0.0,0.0,0.0,0.0506666666666664,0.0,0.0020000000000006,0.0,0.0156666666666662,0.0,0.0026666666666665,0.0,0.0,0.0,0.0126666666666666,0.0,0.0093333333333334,0.0,0.0946666666666666
C♯ dim,0.0,0.004666666666667,0.0,0.0,0.0,0.0313333333333325,0.0146666666666677,0.0066666666666668,0.0269999999999992,37.965999999999994,0.003333333333332,0.0,0.0,0.0,0.0,0.0363333333333333,0.0,0.0,0.0,0.0,0.0,1.3686666666666678,0.0,0.0270000000000001,0.0,0.0069999999999996,0.0,0.0079999999999991,0.0,0.0,0.0389999999999997,0.0,0.0213333333333336,0.0309999999999988,0.0,0.059333333333333196,0.0626666666666664
