,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,32.558666666666674,0.0016666666666667052,0.0,0.020666666666667055,0.014000000000001123,0.0,0.0,0.012333333333334195,0.0,0.014666666666666828,0.0,0.0,0.0,0.0,0.0,0.011333333333332973,0.0,0.0016666666666669272,0.0073333333333316375,0.03466666666666729,0.0,0.0,0.0040000000000000036,0.0,0.0,0.026666666666665506,0.011333333333332973,0.012000000000000455,0.0,0.01066666666666638,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333338544
A♯ maj,0.0,13.940333333333331,0.0,0.0,0.0,0.0,0.0,0.0013333333333349628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023333333333335204,0.017666666666666053,0.0,0.0033333333333338544,0.01466666666666594,0.0,0.0,0.0,0.0,0.013666666666665606
A♯ min,0.0,0.0,15.751000000000005,0.0003333333333337407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2796666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666666666667282,0.0,0.0,0.0,0.0,0.0,0.7039999999999971,0.0,0.03000000000000025,0.0
A dim,0.019333333333333425,0.0,0.0,14.14466666666667,0.0,0.0,0.0,0.002666666666666817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03599999999999959,0.03266666666666396,0.0,0.011666666666666714,0.0,0.0,0.0,0.0,0.02200000000000024,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,16.991666666666664,0.0,0.01100000000000012,0.0,0.0,0.0,0.0303333333333331,0.0009999999999998899,0.0,0.0329999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016333333333333755,0.0,0.0,0.0,0.02400000000000091,0.0020000000000000018,0.0,0.0,0.006000000000000227,0.0,0.0,0.0,0.03966666666666896
A min,0.0,0.0,0.03599999999999959,0.0,0.02800000000000047,11.342666666666663,0.0,0.0,0.0016666666666669272,0.0,0.010333333333333306,0.0,0.0,0.0,0.01966666666666761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08366666666666962
B dim,0.0,0.0,0.0,0.0,0.0,0.0,17.072666666666667,0.005000000000002558,0.0,0.02799999999999958,0.0,0.0,0.0,0.0,0.3946666666666667,0.0,0.022333333333333982,0.0,0.0,0.0,0.010333333333333528,0.0,0.011666666666666714,0.0,0.0,0.02066666666666528,0.0,0.010333333333333528,0.0173333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B maj,0.025000000000000355,0.0,0.0,0.0,0.0,0.0,0.0,26.42733333333333,0.0,0.02833333333333332,0.0,0.0,0.0,0.0006666666666674814,0.0,0.013000000000001677,0.0,0.022666666666665947,0.0,0.0,0.021333333333334537,0.0,0.0,0.21700000000000053,0.025333333333334096,0.009000000000000341,0.0129999999999999,0.011333333333332973,0.0,0.0,0.0,0.0,0.0063333333333357444,0.0,0.025000000000000355,0.0030000000000001137,0.003666666666666679
B min,0.012000000000000233,0.0,0.0,0.0,0.0,0.0,0.01100000000000012,0.0,18.834666666666667,0.03133333333333388,0.0,0.0,0.0,0.011333333333333417,0.0,0.0,0.0,0.0,0.0,0.0,0.02400000000000002,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.002666666666666595,0.0,0.0,0.0,0.009666666666667156,0.0,0.0,0.0,0.017333333333333326
C♯ dim,0.0,0.004666666666667041,0.0,0.0,0.0,0.010666666666667268,0.007666666666666266,0.0030000000000001137,0.0,20.232999999999997,0.02133333333333276,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02833333333333421,0.0,0.010666666666667268,0.0,0.0,0.01533333333333431,0.0,0.0,0.0,0.0,0.018999999999999906,0.0
C♯ maj,0.0,0.0,0.0,0.01933333333333387,0.0,0.0,0.0070000000000014495,0.010666666666665492,0.014333333333333531,0.0,24.53533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086666666666666,0.0,0.0,0.0,0.015000000000000568,0.0,0.0,0.02366666666666717,0.0,0.0,0.0,0.0,0.02400000000000109
C♯ min,0.026333333333331765,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666666714,0.0040000000000000036,0.0,0.012000000000000455,18.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0599999999999989
C dim,0.03533333333333388,0.008000000000000895,0.007999999999999119,0.013666666666666716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.092,0.010333333333333528,0.0,0.0,0.0,0.0,0.014666666666666828,0.0,0.020666666666667055,0.0,0.0,0.0,0.0,0.0,0.010666666666666824,0.018333333333333535,0.0,0.0,0.0,0.0,0.0,0.011333333333332973,0.0259999999999998,0.0,0.0
C maj,0.0,0.0,0.022666666666667723,0.0,0.0086666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59133333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009666666666666046,0.033333333333333215,0.02200000000000024,0.0,0.0,0.0,0.010666666666665492,0.0,0.0,0.019333333333333425,0.0,0.0,0.0,0.009333333333330529
C min,0.01766666666666694,0.01966666666666672,0.009000000000000341,0.0,0.0,0.0,0.0,0.0,0.0,0.011666666666665826,0.0,0.011333333333332973,0.0,0.0,18.684666666666665,0.03733333333333455,0.0,0.0,0.0,0.007666666666666266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01633333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666668
D♯ dim,0.0,0.0,0.0,0.0,0.021666666666668277,0.0,0.015333333333332533,0.0,0.0,0.0,0.0,0.0,0.044333333333333336,0.0,0.0,13.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023000000000000576,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030999999999998806
D♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029666666666666508,0.0,0.0,0.005333333333332746,0.0,0.0,0.0,0.0,0.0,15.254666666666665,0.0,0.0,0.02200000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046666666666652645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055666666666663644
