,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,2.4430000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A♯ min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A dim,0.0,0.0,0.0,1.1886666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,3.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039999999999995595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A min,0.0,0.0,0.0,0.0,0.026999999999999247,6.935333333333335,0.0,0.0,0.0009999999999998899,0.0,0.0,0.01033333333333264,0.002666666666666373,0.0,0.0,0.0,0.0,0.01733333333333409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333337407,0.0,0.0,0.007333333333333414,0.0,0.0,0.0,0.0,0.0,0.04066666666666663
B dim,0.0,0.0,0.0,0.0,0.026666666666666616,0.0,1.3713333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.392333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.050666666666666416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.641000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030666666666666842,0.0043333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9396666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389999999999997,0.0,0.02133333333333365,0.0,0.0,0.0,0.0
C♯ maj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.083666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.02566666666666695,0.0,0.0,0.0,0.0,0.02366666666666717,0.0,0.0,0.030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C♯ min,0.0,0.0,0.0,0.027333333333334764,0.0,0.0,0.0,0.0,0.0036666666666658188,0.0,0.024333333333333762,6.927666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C dim,0.0,0.0,0.0,0.0,0.0,0.017999999999999794,0.0,0.0,0.0,1.2830000000000004,0.0,0.008999999999999453,6.078666666666666,0.0389999999999997,0.0,0.0,0.038666666666666405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005666666666666931,0.0
C maj,0.0,0.0,0.0,0.0,0.010333333333333528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.411666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02066666666666661,0.0,0.0,0.0,0.0,0.0,2.275666666666667,0.0,0.05966666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D♯ dim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0193333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666667052,0.0,0.0,0.0,0.0,0.0,0.0
D♯ maj,0.16166666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666666666663765,0.0,0.0,0.0,0.0,6.701,0.0,0.0,0.0,0.0,0.0,0.030999999999999694,0.0,0.0,0.02300000000000013,0.020999999999999908,0.0,0.0,0.0,0.0,0.0,0.0006666666666665932,0.0,0.0,0.0,0.0
