,A♯ dim,A♯ maj,A♯ min,A dim,A maj,A min,B dim,B maj,B min,C♯ dim,C♯ maj,C♯ min,C dim,C maj,C min,D♯ dim,D♯ maj,D♯ min,D dim,D maj,D min,E dim,E maj,E min,F♯ dim,F♯ maj,F♯ min,F dim,F maj,F min,G♯ dim,G♯ maj,G♯ min,G dim,G maj,G min,N
A♯ dim,45.18633333333334,0.0016666666666667,0.0,0.020666666666667,0.0273333333333347,0.0,0.0,0.0123333333333341,0.0,0.0146666666666668,0.0199999999999995,0.0,0.0,0.0116666666666667,0.0,0.0113333333333329,0.0,0.0016666666666669,0.0073333333333316,0.0346666666666672,0.0,0.0,0.004,0.0,0.0103333333333335,0.0266666666666655,0.0113333333333329,0.0120000000000004,0.0049999999999998,0.0106666666666663,0.0,0.0,0.008,0.0,0.0,0.0,0.0483333333333356
A♯ maj,0.0,26.100666666666665,0.0,0.0,0.0,0.0,0.0,0.0013333333333349,0.0,0.0,0.0,0.0,0.0,0.0239999999999991,0.0,0.0,0.0250000000000003,0.0,0.0006666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0253333333333323,0.0,0.0023333333333335,0.017666666666666,0.0,0.0033333333333338,0.0146666666666659,0.0096666666666678,0.0,0.0,0.0,0.048333333333332
A♯ min,0.0,0.0,32.12533333333333,0.0246666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2993333333333332,0.0009999999999994,0.0,0.0,0.0,0.0,0.0,0.0513333333333355,0.0,0.0,0.0,0.0,0.0016666666666669,0.0,0.0,0.0266666666666672,0.0,0.0,0.0,0.0,0.002,0.7039999999999971,0.0040000000000013,0.038333333333333,0.0786666666666704
A dim,0.0193333333333334,0.0,0.0,27.524333333333338,0.0193333333333338,0.0,0.0,0.0026666666666668,0.0,0.0153333333333334,0.0,0.0303333333333339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043333333333333,0.0359999999999995,0.0326666666666639,0.0,0.0116666666666667,0.0,0.0,0.0,0.0,0.0340000000000006,0.0,0.0,0.0
A maj,0.0,0.0,0.0,0.0,27.11033333333333,0.0,0.0110000000000001,0.0,0.0,0.0,0.0536666666666665,0.0009999999999998,0.0,0.0329999999999977,0.0,0.0,0.022333333333333,0.0,0.0,0.0,0.0039999999999995,0.0,0.0,0.0,0.0163333333333337,0.0,0.0,0.0,0.0240000000000009,0.0046666666666663,0.0,0.0,0.0060000000000002,0.0,0.0,0.0,0.0396666666666689
A min,0.0,0.0070000000000014,0.0359999999999995,0.0,0.054999999999999605,29.16466666666667,0.0,0.0,0.0026666666666667,0.0,0.0103333333333333,0.0103333333333326,0.0276666666666648,0.0,0.0196666666666676,0.0,0.0,0.017333333333334,0.0,0.0243333333333346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333337,0.0,0.0,0.0073333333333334,0.0,0.0,0.0,0.0,0.0,0.1243333333333362
B dim,0.0,2.848,0.0146666666666668,0.0,0.0266666666666666,0.0,29.15233333333333,0.0050000000000025,0.0,0.0279999999999995,0.0,0.0,0.0,0.0,0.4079999999999998,0.0,0.0223333333333339,0.0266666666666668,0.0,0.0,0.0103333333333335,0.0,0.0256666666666664,0.0,0.0,0.0696666666666664,0.0,0.0103333333333335,0.0173333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123
B maj,0.0250000000000003,0.0,0.0,0.0,0.0,0.0023333333333326,0.0,39.19566666666667,0.0,0.0283333333333333,0.0,0.0,0.009333333333334,0.0006666666666674,0.0506666666666664,0.0130000000000016,0.0,0.0226666666666659,0.0,0.0,0.0213333333333345,0.0,0.0,0.2473333333333318,0.025333333333334,0.0090000000000003,0.0129999999999999,0.0113333333333329,0.0,0.0200000000000004,0.0,0.0,0.0173333333333349,0.0,0.0250000000000003,0.0030000000000001,0.0036666666666666
B min,0.0120000000000002,0.0,0.0006666666666674,0.0,0.0,0.0203333333333333,0.0110000000000001,0.0,35.376,0.0313333333333338,0.0,0.0,0.0,0.0113333333333334,0.0,0.0489999999999994,0.0,0.0,0.0,0.0,0.024,0.0,0.0186666666666663,0.0,0.0,0.0,0.0356666666666666,0.0043333333333333,0.0026666666666665,0.0,0.0,0.0,0.0096666666666671,0.0,0.0319999999999986,0.0,0.0173333333333333
C♯ dim,0.0,0.004666666666667,0.0,0.0,0.0,0.0206666666666687,0.0076666666666662,0.0030000000000001,0.0,38.06833333333334,0.0246666666666647,0.0,0.0,0.0043333333333333,0.0,0.0,0.0,0.0060000000000002,0.0,0.0,0.0,1.3686666666666678,0.0,0.0,0.0,0.0283333333333342,0.0,0.0106666666666672,0.0,0.0,0.054333333333334004,0.0,0.0213333333333336,0.0186666666666672,0.0,0.0379999999999995,0.0346666666666664
C♯ maj,0.0180000000000002,0.0239999999999991,0.012,0.0193333333333338,0.0,0.0,0.0070000000000014,0.0106666666666654,0.0143333333333335,0.0123333333333333,43.24166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0256666666666669,0.0,0.0,0.0,0.0083333333333328,0.0236666666666671,0.0,0.0086666666666666,0.0300000000000011,0.0066666666666668,0.0,0.0150000000000005,0.0,0.0,0.0236666666666671,0.0,0.0,0.0,0.0,0.024000000000001
C♯ min,0.0263333333333317,0.0,0.0,0.0273333333333347,0.0,0.0,0.0,0.0116666666666667,0.0076666666666658,0.0,0.0363333333333341,40.971999999999994,0.0,0.0,0.0,0.0,0.0143333333333348,0.0,0.0180000000000006,0.0346666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0143333333333366,0.0,0.0,0.0,0.0,0.0089999999999994,0.0,0.0,0.0,0.0,0.101333333333333
C dim,0.0380000000000001,0.0080000000000008,0.0079999999999991,0.0263333333333333,0.0116666666666658,0.0179999999999997,0.0,0.0,0.0,1.2830000000000004,0.0,0.0089999999999994,41.718666666666664,0.0493333333333332,0.0,0.0,0.0386666666666664,0.0,0.0146666666666668,0.0040000000000013,0.020666666666667,0.0179999999999989,0.0,0.0,0.0,0.0046666666666652,0.0106666666666668,0.0183333333333335,0.0,0.0,0.0,0.0,0.0,0.0113333333333329,0.0259999999999998,0.0056666666666669,0.0333333333333314
C maj,0.0,0.0,0.035666666666667596,0.0,0.0190000000000001,0.0,0.0,0.0,0.0076666666666671,0.0,0.0,0.0096666666666678,0.0109999999999992,46.97933333333334,0.0066666666666668,0.0,0.0,0.0,0.0,0.0173333333333332,0.0,0.0,0.0,0.009666666666666,0.0333333333333332,0.0220000000000002,0.0286666666666679,0.0,0.0,0.0106666666666654,0.0,0.0,0.0193333333333334,0.0116666666666667,0.0,0.0,0.0093333333333305
C min,0.0176666666666669,0.0196666666666667,0.0090000000000003,0.0,0.0,0.0,0.0076666666666671,0.0,0.0206666666666666,0.0116666666666658,0.0,0.0113333333333329,0.0,0.0,31.88733333333333,0.0373333333333345,0.0899999999999998,0.0,0.0,0.0076666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163333333333333,0.0,0.0,0.0,0.5220000000000002,0.0,0.0,0.0616666666666663
D♯ dim,0.0,0.0,0.0,0.0,0.0216666666666682,0.0,0.0153333333333325,0.0,0.0,0.0169999999999994,0.0,0.0,0.0443333333333333,0.0216666666666682,0.0,21.53666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369999999999998,0.0,0.0006666666666665,0.0,0.0,0.0016666666666667,0.0,0.0,0.0540000000000002,0.0,0.0,0.0309999999999988
