variant,seed,fold,n_train,n_val,n_test,kernel,C,gamma,cache_size_mb,chunk,prep_seconds,fit_seconds,sklearn_version,numpy_version,finished_at,n_sv_total,sv_fraction,n_sv_min_class,n_sv_max_class,n_sv_median_class,n_sv_bounded,bounded_fraction,dual_coef_abs_max,dual_coef_abs_sum_median,train_l2_median,train_l2_p99,train_l2_max,train_l2_min,sink_class_zero_kernel,sink_class_zero_kernel_margin,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,fast_predict_mode,fast_predict_validated,fast_predict_n_checked,fast_predict_mismatches,fast_predict_min_abs_dec,predict_ms_per_clip
orig,42,,5760,720,720,rbf,1000.0,1e-05,512,512,28.923855304718018,316.3208112716675,1.7.2,1.26.4,2026-08-20T08:35:10.519654+00:00,3893,0.6758680555555555,84,129,109.5,0,0.0,1.404357933851177,185.5169072717587,189.8608741875861,241.2863324469517,1236.9137966069632,168.03340785756723,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,7.569001850254997e-06,1.892008052931892
orig,43,,5760,720,720,rbf,1000.0,1e-05,512,512,16.073342084884644,290.92566680908203,1.7.2,1.26.4,2026-08-20T08:42:30.088787+00:00,3865,0.6710069444444444,79,135,107.0,0,0.0,1.2884712941319294,183.43535403968303,188.3867265977112,241.6329285477086,1217.12927920451,166.7911305187853,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,2.547221106714848e-06,1.4845120055334908
orig,44,,5760,720,720,rbf,1000.0,1e-05,512,512,12.949001789093018,244.13772916793823,1.7.2,1.26.4,2026-08-20T08:47:43.098981+00:00,3861,0.6703125,77,129,107.5,0,0.0,1.3712327140271463,184.8321404640044,188.1660996249096,242.455245316805,1215.6934124472289,166.90153017113417,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,3.054024038384729e-07,1.6181131677022054
orig,45,,5760,720,720,rbf,1000.0,1e-05,512,512,11.493598222732544,268.3165879249573,1.7.2,1.26.4,2026-08-20T08:53:17.313152+00:00,3913,0.6793402777777777,82,129,109.0,0,0.0,1.2906320977925323,185.5889565671341,190.95409591634257,242.89635745194505,1253.0034137236348,169.05923803979263,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,4.8341247765124745e-06,1.4935926785544744
orig,46,,5760,720,720,rbf,1000.0,1e-05,512,512,10.341078758239746,227.492214679718,1.7.2,1.26.4,2026-08-20T08:58:09.958860+00:00,3929,0.6821180555555556,83,130,110.5,0,0.0,1.3148786891491977,185.34096559665767,190.8576847310033,241.10059679322364,1251.8590139310163,168.99960315316562,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,1.665864567401698e-06,1.4558377720060804
clean,42,,5736,718,718,rbf,1000.0,1e-05,512,512,11.005018472671509,234.09695053100583,1.7.2,1.26.4,2026-08-20T09:03:18.993530+00:00,4037,0.7038005578800558,87,133,113.0,0,0.0,1.253927720117188,185.48192482409465,198.1006733380951,249.70091684512096,673.4968452809694,174.771450568041,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,1.651872834194934e-05,1.6439185679688897
clean,43,,5736,718,718,rbf,1000.0,1e-05,512,512,10.18618655204773,407.22782492637634,1.7.2,1.26.4,2026-08-20T09:11:37.654963+00:00,4034,0.7032775453277545,85,134,113.0,0,0.0,1.2722952349418677,188.1280591794275,197.772238867934,251.2854346052385,673.1094718923196,174.69112130046366,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,4.376041811332554e-06,1.932723204384444
clean,44,,5736,718,718,rbf,1000.0,1e-05,512,512,15.067681550979614,262.8272807598114,1.7.2,1.26.4,2026-08-20T09:17:21.497069+00:00,4034,0.7032775453277545,89,137,113.0,0,0.0,1.4275120369494798,187.00114547919736,197.865934310638,252.60891173821545,417.06630999392087,174.74770511285064,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,9.720756406206288e-07,1.544550332012346
clean,45,,5736,718,718,rbf,1000.0,1e-05,512,512,12.17666220664978,281.7630476951599,1.7.2,1.26.4,2026-08-20T09:23:32.092294+00:00,4017,0.7003138075313807,82,135,112.5,0,0.0,1.2842936049021485,187.1973126137576,197.88722368763493,252.1878492739916,672.734923975918,174.61448392638587,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,4.113762886170935e-06,2.673365741279
clean,46,,5736,718,718,rbf,1000.0,1e-05,512,512,33.89977264404297,482.0677018165589,1.7.2,1.26.4,2026-08-20T09:33:13.618476+00:00,4017,0.7003138075313807,80,129,113.5,0,0.0,1.471300739064532,187.8854314125411,197.80031277123013,251.5112423296085,673.037876277864,174.75460920264194,C_diminished_4,1,1.0,1.0,1.0,1.0,f64_gemm,True,128,0,7.28767512447881e-07,1.61454441496847
