variant,seed,n_train,n_val,n_test,epochs_run,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,recall_D_minor_4,recall_E_diminished_4,recall_G#_diminished_4
orig,42,5760,720,720,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,43,5760,720,720,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,44,5760,720,720,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,45,5760,720,720,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
orig,46,5760,720,720,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,42,5736,718,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,43,5736,718,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,44,5736,718,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,45,5736,718,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean,46,5736,718,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean-fixed,42,5736,718,718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean-fixed,43,5736,719,717,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean-fixed,44,5736,717,719,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean-fixed,45,5741,712,719,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clean-fixed,46,5739,717,716,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
