variant,seed,dataset,axis,group,support,n_correct,recall
orig,42,test,quality,diminished,240,240,1.0
orig,42,test,quality,major,240,240,1.0
orig,42,test,quality,minor,240,240,1.0
orig,42,test,root,A,60,60,1.0
orig,42,test,root,A#,60,60,1.0
orig,42,test,root,B,60,60,1.0
orig,42,test,root,C,60,60,1.0
orig,42,test,root,C#,60,60,1.0
orig,42,test,root,D,60,60,1.0
orig,42,test,root,D#,60,60,1.0
orig,42,test,root,E,60,60,1.0
orig,42,test,root,F,60,60,1.0
orig,42,test,root,F#,60,60,1.0
orig,42,test,root,G,60,60,1.0
orig,42,test,root,G#,60,60,1.0
orig,42,val,quality,diminished,240,240,1.0
orig,42,val,quality,major,240,240,1.0
orig,42,val,quality,minor,240,240,1.0
orig,42,val,root,A,60,60,1.0
orig,42,val,root,A#,60,60,1.0
orig,42,val,root,B,60,60,1.0
orig,42,val,root,C,60,60,1.0
orig,42,val,root,C#,60,60,1.0
orig,42,val,root,D,60,60,1.0
orig,42,val,root,D#,60,60,1.0
orig,42,val,root,E,60,60,1.0
orig,42,val,root,F,60,60,1.0
orig,42,val,root,F#,60,60,1.0
orig,42,val,root,G,60,60,1.0
orig,42,val,root,G#,60,60,1.0
orig,42,thinkpad,quality,diminished,480,480,1.0
orig,42,thinkpad,quality,major,480,400,0.8333333333333334
orig,42,thinkpad,quality,minor,480,366,0.7625
orig,42,thinkpad,root,A,120,112,0.9333333333333332
orig,42,thinkpad,root,A#,120,119,0.9916666666666668
orig,42,thinkpad,root,B,120,105,0.875
orig,42,thinkpad,root,C,120,120,1.0
orig,42,thinkpad,root,C#,120,113,0.9416666666666668
orig,42,thinkpad,root,D,120,68,0.5666666666666667
orig,42,thinkpad,root,D#,120,56,0.4666666666666667
orig,42,thinkpad,root,E,120,110,0.9166666666666666
orig,42,thinkpad,root,F,120,92,0.7666666666666667
orig,42,thinkpad,root,F#,120,120,1.0
orig,42,thinkpad,root,G,120,120,1.0
orig,42,thinkpad,root,G#,120,120,1.0
orig,42,vivo,quality,diminished,480,445,0.9270833333333334
orig,42,vivo,quality,major,480,480,1.0
orig,42,vivo,quality,minor,480,479,0.9979166666666668
orig,42,vivo,root,A,120,120,1.0
orig,42,vivo,root,A#,120,120,1.0
orig,42,vivo,root,B,120,120,1.0
orig,42,vivo,root,C,120,120,1.0
orig,42,vivo,root,C#,120,120,1.0
orig,42,vivo,root,D,120,120,1.0
orig,42,vivo,root,D#,120,119,0.9916666666666668
orig,42,vivo,root,E,120,120,1.0
orig,42,vivo,root,F,120,120,1.0
orig,42,vivo,root,F#,120,120,1.0
orig,42,vivo,root,G,120,120,1.0
orig,42,vivo,root,G#,120,120,1.0
orig,42,flow,quality,diminished,480,480,1.0
orig,42,flow,quality,major,480,477,0.99375
orig,42,flow,quality,minor,480,474,0.9875
orig,42,flow,root,A,120,120,1.0
orig,42,flow,root,A#,120,120,1.0
orig,42,flow,root,B,120,119,0.9916666666666668
orig,42,flow,root,C,120,120,1.0
orig,42,flow,root,C#,120,120,1.0
orig,42,flow,root,D,120,119,0.9916666666666668
orig,42,flow,root,D#,120,118,0.9833333333333332
orig,42,flow,root,E,120,119,0.9916666666666668
orig,42,flow,root,F,120,120,1.0
orig,42,flow,root,F#,120,120,1.0
orig,42,flow,root,G,120,119,0.9916666666666668
orig,42,flow,root,G#,120,120,1.0
orig,42,thinkpad-2,quality,diminished,480,475,0.9895833333333334
orig,42,thinkpad-2,quality,major,480,232,0.4833333333333333
orig,42,thinkpad-2,quality,minor,480,251,0.5229166666666667
orig,42,thinkpad-2,root,A,120,17,0.1416666666666666
orig,42,thinkpad-2,root,A#,120,50,0.4166666666666667
orig,42,thinkpad-2,root,B,120,0,0.0
orig,42,thinkpad-2,root,C,120,120,1.0
orig,42,thinkpad-2,root,C#,120,114,0.95
orig,42,thinkpad-2,root,D,120,63,0.525
