n,sink_class,sink_share,sink_share_excess,top3_share,pred_entropy_bits,n_classes_never_predicted,scaled_l2_median,scaled_l2_p99,scaled_l2_max,k_max_mean,k_max_median,variant,seed,dataset,sink_matches_zero_kernel_class
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,189.560524274906,235.7056768069514,1236.9137968340444,0.7896148216114339,0.792761610492813,orig,42,test,False
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,189.83752196709327,242.8100574910513,1236.9137968340444,0.7910473863180534,0.7929615541294677,orig,42,val,False
1440,C_diminished_4,0.1486111111111111,0.1208333333333333,0.2194444444444444,4.894935326376403,1,328.67274931667527,438.9733780378976,593.2411348402214,0.4652404618655205,0.4687301519461634,orig,42,thinkpad,True
1440,G_minor_4,0.0402777777777777,0.0125,0.1083333333333333,5.154012067361669,0,270.54006746208694,359.4678259131774,367.7107947313653,0.5534438799272497,0.554966723888072,orig,42,vivo,False
1440,C_diminished_4,0.03125,0.0034722222222222,0.0895833333333333,5.169310375217687,0,281.91906257260854,337.13320149963704,397.676471800858,0.523676968156422,0.5263540836589393,orig,42,flow,True
1440,C_diminished_4,0.3798611111111111,0.3520833333333333,0.5027777777777778,3.7187927725347336,9,357.4381526697621,472.3871731147469,538.3579023048144,0.4181125569985176,0.4149543097280065,orig,42,thinkpad-2,True
1440,C_diminished_4,0.18125,0.1534722222222222,0.2833333333333333,4.655549537334678,4,324.97349915970443,401.58916877017634,496.1720595474031,0.4701454027253776,0.476422962204341,orig,42,flow-2,True
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,188.1445684004472,234.2533796100996,276.1953471958002,0.7949494379180619,0.7974660146310091,orig,43,test,False
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,188.4294086348964,230.68872500705467,632.8918906791788,0.793296972484643,0.7968700579523306,orig,43,val,False
1440,C_diminished_4,0.1381944444444444,0.1104166666666666,0.2006944444444444,4.954687077627577,0,323.6145290420486,431.1445560113822,581.3996394461291,0.4758834991939577,0.4783835802452012,orig,43,thinkpad,True
1440,G_minor_4,0.0402777777777777,0.0125,0.1048611111111111,5.157435205904103,0,268.5914593651309,356.4602005356692,364.83892846599815,0.5611140779225027,0.5626967302149648,orig,43,vivo,False
1440,C_diminished_4,0.03125,0.0034722222222222,0.0881944444444444,5.169408768668795,0,278.7877928943305,331.8282229939672,391.5091661209895,0.5319552052785773,0.5333669074498039,orig,43,flow,True
1440,C_diminished_4,0.3701388888888889,0.3423611111111111,0.4868055555555555,3.803099499109023,6,351.24617747260584,463.4213582881704,529.2219174671037,0.429791319004817,0.4262907227046099,orig,43,thinkpad-2,True
1440,C_diminished_4,0.1541666666666666,0.1263888888888888,0.2694444444444445,4.739879556098934,4,319.75486099849047,394.0140736014845,487.0484991432847,0.4789021699503069,0.4858207314526244,orig,43,flow-2,True
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,188.7851483097062,232.7265794785511,272.99370948572994,0.794870790780461,0.7974003040046966,orig,44,test,False
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,188.2178182503156,231.38292099675024,258.2270555818841,0.7963611696633066,0.7982388330082948,orig,44,val,False
1440,C_diminished_4,0.1798611111111111,0.1520833333333333,0.2729166666666666,4.75358806907922,1,323.2260006833711,430.6227810313405,580.5132234048023,0.4757946394679685,0.4785184539743167,orig,44,thinkpad,True
1440,E_minor_4,0.0402777777777777,0.0125,0.1090277777777777,5.153071971854227,0,268.45737977648287,356.0425224544311,364.5827318383418,0.5613737980433106,0.5624352158146048,orig,44,vivo,False
1440,C_diminished_4,0.0326388888888888,0.0048611111111111,0.0895833333333333,5.169129989410396,0,278.50346961327955,331.37751975162905,391.0156221334331,0.532571822544714,0.5344542254678699,orig,44,flow,True
1440,C_diminished_4,0.4208333333333333,0.3930555555555555,0.5354166666666667,3.525206344560242,10,350.86332925759245,462.7388719206833,528.3589714734015,0.4292426407269871,0.4264508072024924,orig,44,thinkpad-2,True
1440,C_diminished_4,0.1986111111111111,0.1708333333333333,0.3208333333333333,4.556091504331089,3,319.416833049585,393.5075820241156,486.6773651832174,0.4803954744081258,0.4870882996178484,orig,44,flow-2,True
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,190.7810811551912,240.6400476947159,1253.0034136192935,0.7861648768393731,0.788623713888438,orig,45,test,False
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,191.07773266965984,260.7059371879811,1253.0034136192935,0.7867496569315173,0.7881857153018901,orig,45,val,False
1440,C_diminished_4,0.2256944444444444,0.1979166666666666,0.3111111111111111,4.593933813042659,1,333.48420948192813,445.8893195761536,603.7361052749231,0.4565823356766436,0.4593342548969472,orig,45,thinkpad,True
1440,G_minor_4,0.0451388888888888,0.0173611111111111,0.10625,5.150514434318574,0,271.9768289278187,361.4427188914837,369.7699805097805,0.5486073937103556,0.549152880537571,orig,45,vivo,False
1440,C_diminished_4,0.0354166666666666,0.0076388888888888,0.0930555555555555,5.16811620793802,0,284.8780466106481,342.28305167238943,403.48741260922606,0.517534594134234,0.5195967630323064,orig,45,flow,True
1440,C_diminished_4,0.4861111111111111,0.4583333333333333,0.5951388888888889,3.154867377535869,11,362.9513129040339,480.02678739517086,545.9253456023148,0.4096289336000275,0.4066775356853663,orig,45,thinkpad-2,True
1440,C_diminished_4,0.2486111111111111,0.2208333333333333,0.3527777777777777,4.375020590816682,5,329.6610390492158,408.262276052515,503.5514371212674,0.4614387432199853,0.4682126661057313,orig,45,flow-2,True
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,190.9983407102609,249.4727910641897,1251.85901419252,0.7879524355504609,0.7887339593874052,orig,46,test,False
720,A#_diminished_4,0.0277777777777777,0.0,0.0833333333333333,5.169925001442311,0,190.76346751974964,249.7553059187976,1251.85901419252,0.7868238929421507,0.7892021860020118,orig,46,val,False
1440,C_diminished_4,0.1979166666666666,0.1701388888888889,0.2715277777777777,4.7173598837547885,1,333.0339252998889,445.2939571853672,602.8768379839465,0.456989490713091,0.4613154446925201,orig,46,thinkpad,True
1440,G_minor_4,0.0409722222222222,0.0131944444444444,0.10625,5.156380744717009,0,271.8452074800002,361.31223182740536,369.67081089760967,0.5496796766680797,0.5494762732928724,orig,46,vivo,False
1440,C_diminished_4,0.0361111111111111,0.0083333333333333,0.0930555555555555,5.1678704499198505,0,284.54085331686485,341.7100069763149,402.8665164669291,0.5188307860720327,0.5200677471117836,orig,46,flow,True
1440,C_diminished_4,0.4791666666666667,0.4513888888888889,0.6020833333333334,3.204606455139235,11,362.5399619695471,479.38971117788526,545.2845651877508,0.408634048698352,0.4091154901241617,orig,46,thinkpad-2,True
1440,C_diminished_4,0.2263888888888889,0.1986111111111111,0.3215277777777777,4.508585911021183,3,329.3337473373431,407.7339871382927,503.18690871405073,0.4622277095962001,0.4687696426076607,orig,46,flow-2,True
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.17740771897488,266.62014757859464,351.24738499520527,0.7602370097518545,0.7658015885374201,clean,42,test,False
718,A#_diminished_4,0.0278551532033426,7.737542556484137e-05,0.0835654596100278,5.16982840424887,0,197.6096584261201,267.6006987725378,399.4167353979792,0.760781092147855,0.7650287183649155,clean,42,val,False
