variant,seed,class,n_train_class,n_support,sv_fraction
orig,42,A#_diminished_4,160,87,0.54375
orig,42,A#_major_4,160,107,0.66875
orig,42,A#_minor_4,160,94,0.5875
orig,42,A_diminished_4,160,105,0.65625
orig,42,A_major_4,160,110,0.6875
orig,42,A_minor_4,160,115,0.71875
orig,42,B_diminished_4,160,115,0.71875
orig,42,B_major_4,160,101,0.63125
orig,42,B_minor_4,160,91,0.56875
orig,42,C#_diminished_4,160,84,0.525
orig,42,C#_major_4,160,101,0.63125
orig,42,C#_minor_4,160,98,0.6125
orig,42,C_diminished_4,160,119,0.74375
orig,42,C_major_4,160,104,0.65
orig,42,C_minor_4,160,97,0.60625
orig,42,D#_diminished_4,160,129,0.80625
orig,42,D#_major_4,160,111,0.69375
orig,42,D#_minor_4,160,116,0.725
orig,42,D_diminished_4,160,113,0.70625
orig,42,D_major_4,160,97,0.60625
orig,42,D_minor_4,160,100,0.625
orig,42,E_diminished_4,160,111,0.69375
orig,42,E_major_4,160,121,0.75625
orig,42,E_minor_4,160,122,0.7625
orig,42,F#_diminished_4,160,117,0.73125
orig,42,F#_major_4,160,125,0.78125
orig,42,F#_minor_4,160,116,0.725
orig,42,F_diminished_4,160,112,0.7
orig,42,F_major_4,160,116,0.725
orig,42,F_minor_4,160,120,0.75
orig,42,G#_diminished_4,160,102,0.6375
orig,42,G#_major_4,160,109,0.68125
orig,42,G#_minor_4,160,112,0.7
orig,42,G_diminished_4,160,103,0.64375
orig,42,G_major_4,160,106,0.6625
orig,42,G_minor_4,160,107,0.66875
orig,43,A#_diminished_4,160,88,0.55
orig,43,A#_major_4,160,108,0.675
orig,43,A#_minor_4,160,94,0.5875
orig,43,A_diminished_4,160,103,0.64375
orig,43,A_major_4,160,107,0.66875
orig,43,A_minor_4,160,110,0.6875
orig,43,B_diminished_4,160,108,0.675
orig,43,B_major_4,160,96,0.6
orig,43,B_minor_4,160,102,0.6375
orig,43,C#_diminished_4,160,79,0.49375
orig,43,C#_major_4,160,103,0.64375
orig,43,C#_minor_4,160,108,0.675
orig,43,C_diminished_4,160,115,0.71875
orig,43,C_major_4,160,102,0.6375
orig,43,C_minor_4,160,98,0.6125
orig,43,D#_diminished_4,160,135,0.84375
orig,43,D#_major_4,160,118,0.7375
orig,43,D#_minor_4,160,110,0.6875
orig,43,D_diminished_4,160,114,0.7125
orig,43,D_major_4,160,105,0.65625
orig,43,D_minor_4,160,97,0.60625
orig,43,E_diminished_4,160,117,0.73125
orig,43,E_major_4,160,122,0.7625
orig,43,E_minor_4,160,123,0.76875
orig,43,F#_diminished_4,160,116,0.725
orig,43,F#_major_4,160,105,0.65625
orig,43,F#_minor_4,160,113,0.70625
orig,43,F_diminished_4,160,107,0.66875
orig,43,F_major_4,160,115,0.71875
orig,43,F_minor_4,160,121,0.75625
orig,43,G#_diminished_4,160,103,0.64375
orig,43,G#_major_4,160,103,0.64375
orig,43,G#_minor_4,160,107,0.66875
orig,43,G_diminished_4,160,102,0.6375
orig,43,G_major_4,160,104,0.65
orig,43,G_minor_4,160,107,0.66875
orig,44,A#_diminished_4,160,92,0.575
orig,44,A#_major_4,160,97,0.60625
orig,44,A#_minor_4,160,89,0.55625
orig,44,A_diminished_4,160,101,0.63125
orig,44,A_major_4,160,102,0.6375
orig,44,A_minor_4,160,111,0.69375
orig,44,B_diminished_4,160,106,0.6625
orig,44,B_major_4,160,93,0.58125
orig,44,B_minor_4,160,102,0.6375
orig,44,C#_diminished_4,160,77,0.48125
orig,44,C#_major_4,160,101,0.63125
orig,44,C#_minor_4,160,102,0.6375
orig,44,C_diminished_4,160,119,0.74375
orig,44,C_major_4,160,110,0.6875
orig,44,C_minor_4,160,93,0.58125
orig,44,D#_diminished_4,160,129,0.80625
orig,44,D#_major_4,160,121,0.75625
orig,44,D#_minor_4,160,118,0.7375
orig,44,D_diminished_4,160,109,0.68125
orig,44,D_major_4,160,95,0.59375
orig,44,D_minor_4,160,107,0.66875
orig,44,E_diminished_4,160,116,0.725
orig,44,E_major_4,160,121,0.75625
orig,44,E_minor_4,160,122,0.7625
orig,44,F#_diminished_4,160,120,0.75
orig,44,F#_major_4,160,110,0.6875
orig,44,F#_minor_4,160,115,0.71875
orig,44,F_diminished_4,160,112,0.7
orig,44,F_major_4,160,114,0.7125
orig,44,F_minor_4,160,122,0.7625
orig,44,G#_diminished_4,160,104,0.65
orig,44,G#_major_4,160,103,0.64375
orig,44,G#_minor_4,160,111,0.69375
orig,44,G_diminished_4,160,108,0.675
orig,44,G_major_4,160,104,0.65
orig,44,G_minor_4,160,105,0.65625
orig,45,A#_diminished_4,160,84,0.525
orig,45,A#_major_4,160,108,0.675
orig,45,A#_minor_4,160,95,0.59375
orig,45,A_diminished_4,160,107,0.66875
orig,45,A_major_4,160,109,0.68125
orig,45,A_minor_4,160,119,0.74375
orig,45,B_diminished_4,160,112,0.7
