trial,C,gamma,fold1,fold2,fold3,fold4,fold5,cv_accuracy,cv_std,seconds
0,1.0,0.0001,0.9961,0.9969,0.9969,0.9985,0.9977,0.9972222222222221,0.000815843122174869,1143
1,10.0,0.001,0.0324,0.0316,0.0324,0.0355,0.0324,0.03287037037037037,0.0013558761005342621,1133
2,10.0,0.0001,0.9961,0.9969,0.9969,0.9985,0.9977,0.9972222222222221,0.000815843122174869,1131
3,100.0,0.0001,0.9961,0.9969,0.9969,0.9985,0.9977,0.9972222222222221,0.000815843122174869,1126
4,10.0,0.0001,0.9961,0.9969,0.9969,0.9985,0.9977,0.9972222222222221,0.000815843122174869,1119
5,0.1,1e-06,0.9738,0.9722,0.9722,0.9776,0.9745,0.9740740740740741,0.001985547783358565,1115
6,1.0,0.001,0.0324,0.0316,0.0324,0.0355,0.0324,0.03287037037037037,0.0013558761005342621,1115
7,1000.0,1e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1036
8,1.0,0.001,0.0324,0.0316,0.0324,0.0355,0.0324,0.03287037037037037,0.0013558761005342621,1112
9,0.1,0.0001,0.99,0.9907,0.9931,0.9954,0.9915,0.9921296296296296,0.0019293522228976002,1125
