domain,index,chord_file,chord_label,source_audio,rir_file,rir_room,rir_index,dir_file,dir_device,dir_index,noise_file,noise_category,snr_db,time_roll,dry_wav,rir_wav,dir_wav,clean_cqt_inv_wav,noise_cqt_inv_wav
vivo,22,A#_diminished_4/A#_diminished_4-3.wav,A#_diminished_4,../datasets/vivo/A#_diminished_4/A#_diminished_4-3.wav,h267_MITCampus_Atrium_1txts.wav,MITCampus,170,IR_STC4035.wav,STC4035,5,5-223099-A-32.wav,keyboard_typing,23.18224328849709,155,../processed-samples/vivo/0022__A#_diminished_4__A#_diminished_4-3.wav__dry.wav,../processed-samples/vivo/0022__A#_diminished_4__A#_diminished_4-3.wav__rir.wav,../processed-samples/vivo/0022__A#_diminished_4__A#_diminished_4-3.wav__dir.wav,../processed-samples/vivo/0022__A#_diminished_4__A#_diminished_4-3.wav__clean_cqt_inv.wav,../processed-samples/vivo/0022__A#_diminished_4__A#_diminished_4-3.wav__noise_cqt_inv.wav
vivo,32,A#_diminished_4/A#_diminished_4-39.wav,A#_diminished_4,../datasets/vivo/A#_diminished_4/A#_diminished_4-39.wav,h258_Classroom_1txts.wav,Classroom,162,IR_AKGD12.wav,AKGD12,0,4-169508-A-37.wav,clock_alarm,14.250389496639766,136,../processed-samples/vivo/0032__A#_diminished_4__A#_diminished_4-39.wav__dry.wav,../processed-samples/vivo/0032__A#_diminished_4__A#_diminished_4-39.wav__rir.wav,../processed-samples/vivo/0032__A#_diminished_4__A#_diminished_4-39.wav__dir.wav,../processed-samples/vivo/0032__A#_diminished_4__A#_diminished_4-39.wav__clean_cqt_inv.wav,../processed-samples/vivo/0032__A#_diminished_4__A#_diminished_4-39.wav__noise_cqt_inv.wav
vivo,154,A_diminished_4/A_diminished_4-40.wav,A_diminished_4,../datasets/vivo/A_diminished_4/A_diminished_4-40.wav,h254_Classroom_1txts.wav,Classroom,158,IR_STC4035.wav,STC4035,5,1-97793-A-31.wav,mouse_click,19.785683703481222,23,../processed-samples/vivo/0154__A_diminished_4__A_diminished_4-40.wav__dry.wav,../processed-samples/vivo/0154__A_diminished_4__A_diminished_4-40.wav__rir.wav,../processed-samples/vivo/0154__A_diminished_4__A_diminished_4-40.wav__dir.wav,../processed-samples/vivo/0154__A_diminished_4__A_diminished_4-40.wav__clean_cqt_inv.wav,../processed-samples/vivo/0154__A_diminished_4__A_diminished_4-40.wav__noise_cqt_inv.wav
vivo,760,D_major_4/D_major_4-1.wav,D_major_4,../datasets/vivo/D_major_4/D_major_4-1.wav,h066_MITCampus_StudentLounge_2txts.wav,MITCampus,49,IR_AKGD12.wav,AKGD12,0,1-60676-A-34.wav,can_opening,19.45934651162606,81,../processed-samples/vivo/0760__D_major_4__D_major_4-1.wav__dry.wav,../processed-samples/vivo/0760__D_major_4__D_major_4-1.wav__rir.wav,../processed-samples/vivo/0760__D_major_4__D_major_4-1.wav__dir.wav,../processed-samples/vivo/0760__D_major_4__D_major_4-1.wav__clean_cqt_inv.wav,../processed-samples/vivo/0760__D_major_4__D_major_4-1.wav__noise_cqt_inv.wav
vivo,19,A#_diminished_4/A#_diminished_4-27.wav,A#_diminished_4,../datasets/vivo/A#_diminished_4/A#_diminished_4-27.wav,h211_Stairwell_1txts.wav,Stairwell,133,IR_AKGD12.wav,AKGD12,0,4-175945-A-38.wav,clock_tick,22.01992244584677,143,../processed-samples/vivo/0019__A#_diminished_4__A#_diminished_4-27.wav__dry.wav,../processed-samples/vivo/0019__A#_diminished_4__A#_diminished_4-27.wav__rir.wav,../processed-samples/vivo/0019__A#_diminished_4__A#_diminished_4-27.wav__dir.wav,../processed-samples/vivo/0019__A#_diminished_4__A#_diminished_4-27.wav__clean_cqt_inv.wav,../processed-samples/vivo/0019__A#_diminished_4__A#_diminished_4-27.wav__noise_cqt_inv.wav
thinkpad,594,C_minor_4/C_minor_4-40.wav,C_minor_4,../datasets/thinkpad/C_minor_4/C_minor_4-40.wav,h087_ArtGallery_2txts.wav,ArtGallery,61,IR_OktavaMD57.wav,OktavaMD57,4,5-182007-A-36.wav,vacuum_cleaner,10.141951181861607,151,../processed-samples/thinkpad/0594__C_minor_4__C_minor_4-40.wav__dry.wav,../processed-samples/thinkpad/0594__C_minor_4__C_minor_4-40.wav__rir.wav,../processed-samples/thinkpad/0594__C_minor_4__C_minor_4-40.wav__dir.wav,../processed-samples/thinkpad/0594__C_minor_4__C_minor_4-40.wav__clean_cqt_inv.wav,../processed-samples/thinkpad/0594__C_minor_4__C_minor_4-40.wav__noise_cqt_inv.wav
thinkpad,970,F#_diminished_4/F#_diminished_4-19.wav,F#_diminished_4,../datasets/thinkpad/F#_diminished_4/F#_diminished_4-19.wav,h052_Gym_WeightRoom_3txts.wav,Gym,41,IR_OktavaMD57.wav,OktavaMD57,4,1-20133-A-39.wav,glass_breaking,22.649235798325925,50,../processed-samples/thinkpad/0970__F#_diminished_4__F#_diminished_4-19.wav__dry.wav,../processed-samples/thinkpad/0970__F#_diminished_4__F#_diminished_4-19.wav__rir.wav,../processed-samples/thinkpad/0970__F#_diminished_4__F#_diminished_4-19.wav__dir.wav,../processed-samples/thinkpad/0970__F#_diminished_4__F#_diminished_4-19.wav__clean_cqt_inv.wav,../processed-samples/thinkpad/0970__F#_diminished_4__F#_diminished_4-19.wav__noise_cqt_inv.wav
thinkpad,1327,G_diminished_4/G_diminished_4-16.wav,G_diminished_4,../datasets/thinkpad/G_diminished_4/G_diminished_4-16.wav,h251_Hallway_MITCampus_1txts.wav,Hallway,155,IR_Lomo52A5M.wav,Lomo52A5M,2,2-152895-A-31.wav,mouse_click,19.53846197236269,59,../processed-samples/thinkpad/1327__G_diminished_4__G_diminished_4-16.wav__dry.wav,../processed-samples/thinkpad/1327__G_diminished_4__G_diminished_4-16.wav__rir.wav,../processed-samples/thinkpad/1327__G_diminished_4__G_diminished_4-16.wav__dir.wav,../processed-samples/thinkpad/1327__G_diminished_4__G_diminished_4-16.wav__clean_cqt_inv.wav,../processed-samples/thinkpad/1327__G_diminished_4__G_diminished_4-16.wav__noise_cqt_inv.wav
thinkpad,1406,G_minor_4/G_minor_4-15.wav,G_minor_4,../datasets/thinkpad/G_minor_4/G_minor_4-15.wav,h066_MITCampus_StudentLounge_2txts.wav,MITCampus,49,IR_Crystal.wav,Crystal,1,5-221529-A-39.wav,glass_breaking,16.78370440554777,96,../processed-samples/thinkpad/1406__G_minor_4__G_minor_4-15.wav__dry.wav,../processed-samples/thinkpad/1406__G_minor_4__G_minor_4-15.wav__rir.wav,../processed-samples/thinkpad/1406__G_minor_4__G_minor_4-15.wav__dir.wav,../processed-samples/thinkpad/1406__G_minor_4__G_minor_4-15.wav__clean_cqt_inv.wav,../processed-samples/thinkpad/1406__G_minor_4__G_minor_4-15.wav__noise_cqt_inv.wav
thinkpad,10,A#_diminished_4/A#_diminished_4-19.wav,A#_diminished_4,../datasets/thinkpad/A#_diminished_4/A#_diminished_4-19.wav,h256_Stairwell_1txts.wav,Stairwell,160,IR_Crystal.wav,Crystal,1,2-99796-A-32.wav,keyboard_typing,12.19839326459169,145,../processed-samples/thinkpad/0010__A#_diminished_4__A#_diminished_4-19.wav__dry.wav,../processed-samples/thinkpad/0010__A#_diminished_4__A#_diminished_4-19.wav__rir.wav,../processed-samples/thinkpad/0010__A#_diminished_4__A#_diminished_4-19.wav__dir.wav,../processed-samples/thinkpad/0010__A#_diminished_4__A#_diminished_4-19.wav__clean_cqt_inv.wav,../processed-samples/thinkpad/0010__A#_diminished_4__A#_diminished_4-19.wav__noise_cqt_inv.wav
